player_color,move
white,6-4/13-10
black,13-7/8-3
white,10-4/13-10
black,13-8/24-18
white,10-5/5-4
black,8-5/6-4
white,6-4/13-10
black,6-4/24-18
white,6-4/8-4
black,6-4/7-2
white,6-5/8-4
black,4-3/8-6
white,8-4/10-4
black,6-4/8-2
white,6-4/13-10
black,5-2/13-9
white,5-4/10-8
black,9-4/13-12
white,25-20/4-3
black,12-8/13-12
white,20-15/15-12
black,6-3/6-3/18-15/15-12
white,3-2/24-19
black,8-4/18-16
white,12-9/9-4
black,25-20/12-8
white,8-4/19-18
black,2-1/20-16
white,25-20/18-13/13-8/8-3
black,25-20/20-15/16-11/8-3
white,3-1/20-16
black,15-13/13-12
white,4-1/16-12
black,11-10/10-4
white,12-6/6-2
black,4-1/12-8
white,2-0/2-1
black,8-6/6-1
white,1-0/1-0/1-0/4-0
black,3-2/4-1
white,4-0/4-0
black,2-0/4-0
white,4-1/1-0
black,3-2/3-1
white,4-2/2-0
black,3-0/4-0/4-0/4-0
white,4-1/1-0
black,2-0/3-0
white,4-3/3-0
black,2-1/1-0
white,4-3/3-0
black,2-1/1-0
white,4-1/1-0
black,1-0/1-0
white,4-1/4-0
black,1-0/1-0
white,1-0
