player_color,move
white,8-2/8-2/24-18/24-18
black,6-4/13-8
white,6-4/13-8
black,8-2/8-2/24-18/24-18
white,8-2/13-8
black,6-4/6-4/13-11/11-9
white,6-1/13-8/13-8/13-8
black,6-4/13-10
white,18-15/15-9
black,25-24/9-4
white,25-22/8-4
black,6-1/13-10
white,8-4/9-3
black,10-4/13-7/7-1/18-12
white,25-19/19-18
black,2-1/18-12
white,8-4/18-12
black,12-9/9-4
white,8-4/22-16
black,8-3/8-3/12-7/7-2
white,8-7/7-1
black,25-20/20-16
white,6-4/6-5
black,16-10/10-8
white,12-9/9-3
black,8-4/2-0/2-0/3-0
white,5-3/16-10
black,3-1/1-0
white,6-3/10-4
black,1-0/4-3/3-2/2-1
white,2-0/2-1
black,1-0/4-3/3-2/2-1
white,2-0/3-0
black,4-2/2-0
white,3-0/3-0/3-0/4-1
black,1-0/4-3/3-2/2-1
white,4-1/1-0
black,4-2/2-0
white,1-0/4-1
black,4-1/1-0
white,4-1/1-0
black,1-0/1-0
white,4-2/2-0/4-2/4-2
black,1-0/4-0
white,2-0/2-0
black,4-2/2-0
