player_color,move
white,13-9/9-8
black,6-5/6-5/5-4/5-4
white,24-23/24-18
black,24-20/24-23
white,8-4/13-10
black,13-10/23-18
white,6-4/8-4
black,8-7/7-4
white,25-23/8-4
black,8-4/13-10
white,8-4/13-10
black,13-10/20-14
white,13-8/8-4
black,6-4/13-10
white,10-7/10-7/7-4/7-4
black,25-23/8-4
white,6-4/13-7
black,6-4/13-10
white,7-1/23-19
black,25-24/23-18
white,
black,10-8/24-23
white,25-24/6-4
black,14-13/13-10
white,23-18/24-20
black,23-17/8-2/17-11/11-5
white,25-22/22-18
black,5-1/10-4
white,6-4/19-18
black,10-5/5-4
white,6-2/18-12
black,10-4/10-9
white,18-15/18-16
black,
white,12-8/8-4/15-11/16-12
black,
white,11-6/12-10
black,25-23/25-23/18-16/16-14
white,25-22/10-4
black,2-1/14-12
white,4-3/4-3/6-5/5-4
black,23-18/18-17
white,22-18/18-16
black,17-14/14-11/11-8/23-20
white,3-1/16-10
black,8-2/20-14/14-8/8-2
white,10-9/9-6
black,12-10/10-4
white,6-3/3-0
black,4-1/2-0
white,3-1/1-0
black,1-0/2-0
white,4-3/3-0
black,4-1/1-0
white,4-1/1-0
black,1-0/4-0
white,1-0/4-0
black,4-3/1-0
white,4-2/2-0
black,3-2/2-0
white,4-3/3-0
black,4-0/4-0/4-0/4-0
white,4-1/1-0
black,4-3/3-0
white,4-2/4-1
black,4-0/4-0
