player_color,move
black,13-8/13-10
white,6-4/13-7
black,8-3/10-6
white,7-6/13-8
black,13-7/8-3
white,13-10/10-7/7-4/13-10
black,6-4/24-18
white,6-4/13-10
black,7-2/8-4
white,8-4/10-4
black,13-10/10-4
white,4-3/10-9/8-7/9-8
black,25-22/8-4
white,25-23/7-4
black,25-24/24-18
white,6-5/6-5/5-4/5-4
black,6-5/6-5/5-4/5-4
white,6-2/8-4/24-20/20-16
black,13-10/24-19
white,
black,3-2/19-14
white,
black,6-4/18-13
white,
black,13-8/8-4
white,
black,6-1/10-4
white,25-23/25-24
black,
white,25-19/8-4
black,
white,19-14/23-20
black,
white,16-11/20-14
black,25-19/25-23
white,25-19/14-8/19-13/24-18
black,25-22/25-19
white,11-5/5-4
black,3-1/19-18
white,13-8/14-11
black,4-2/23-19
white,18-12/12-11
black,2-1/4-1
white,8-2
black,22-19/18-16
white,8-4/11-9
black,25-19/4-1
white,9-7/7-5/5-3/3-1
black,25-20/19-13
white,8-5/5-4
black,25-23/23-19
white,25-20/20-14
black,13-10/10-7/7-4/19-16
white,11-7/7-2
black,16-10/10-4/19-13/19-13
white,14-10/10-6/2-0/6-2
black,25-23/13-11/11-9/9-7
white,25-22/22-20
black,7-2/2-1
white,20-18/18-12
black,25-19/19-18
white,12-6/6-5
black,4-1/23-18
white,5-2/1-0
black,18-12/18-13
white,2-0/4-0
black,4-2/13-8
white,4-2/2-0
black,8-3/3-1
white,4-3/3-0
black,4-1/12-8
white,4-2/2-0/4-2/2-0
black,8-2/1-0
white,4-0/4-0
black,2-0/1-0
white,4-0/4-0/4-0/4-0
black,4-1/2-0
white,4-0
