player_color,move
black,6-5/13-10
white,6-4/13-10
black,8-4/10-4
white,6-4/10-4
black,13-10/10-7/7-4/13-10
white,6-4/13-10
black,6-4/8-4
white,8-4/13-10
black,10-4/13-8
white,6-4/13-10
black,5-4/8-4
white,6-2/8-4/8-4/13-9
black,6-2/24-20/20-16/8-4
white,25-22/2-1
black,25-22/22-18
white,10-4/22-18
black,16-10/10-4/18-12/12-6
white,10-9/10-4
black,6-4/6-4/13-11/11-9
white,9-8/18-16
black,25-20/6-3
white,8-4/24-19
black,20-18/18-15
white,19-18/18-12
black,3-1/15-11
white,25-19/4-1
black,11-9/9-3
white,25-24/19-16
black,
white,12-10/10-8/8-6/6-4
black,25-23/4-3
white,24-18/18-13
black,2-1/23-18
white,13-8/16-14
black,18-15/15-13
white,14-9/8-2
black,13-10/10-9
white,9-5/5-0
black,9-5/5-0
white,1-0/2-0
black,3-1/3-0
white,1-0/4-0
black,4-3/1-0
white,4-2/2-0
black,1-0/3-0
white,4-3/3-1
black,4-3/3-0
white,4-1/1-0
black,4-1/1-0
white,4-2/2-0
black,4-2/2-1
white,1-0/4-0
black,4-1/1-0
white,4-1/4-0
black,4-0/4-2
white,4-2/2-0
black,2-0/4-0
white,4-3/3-0
black,4-0/4-0
white,4-1/1-0
black,4-1/1-0
white,1-0
