player_color,move
white,8-4/13-10
black,6-4/13-10
white,6-4/8-4
black,8-5/5-4
white,6-4/24-20
black,6-5/10-4
white,
black,8-4/13-10
white,
black,8-4/13-10
white,25-22/8-4
black,5-4/13-10
white,10-9/9-4
black,10-4/10-9
white,13-7/4-3
black,9-4/4-3
white,25-22/6-4
black,25-22/6-4
white,
black,13-10/22-18
white,
black,6-3/24-18
white,25-20/25-19
black,25-22/24-22
white,25-22/6-4
black,25-24/18-13
white,19-14/24-18
black,13-10/24-22
white,6-4/13-12
black,10-8/8-4
white,12-7/7-4
black,25-22/22-19/19-16/16-13
white,13-12/12-6
black,25-24/24-22
white,13-9/9-4
black,22-18/18-13
white,14-9/9-8
black,10-4/13-12
white,6-4/8-6/6-4/22-20
black,10-4/22-20
white,20-14/20-18
black,22-19/19-13
white,18-16/18-13
black,25-19/13-8
white,14-12/12-8
black,19-13/13-8
white,4-1/16-10
black,20-19/22-20
white,10-4/13-12
black,8-4/8-4/20-16/16-12
white,8-5/5-2/12-9/9-6
black,25-23/4-1
white,25-19/6-4
black,23-18/18-17
white,19-13/13-8
black,25-22/25-22/22-19/19-16
white,8-4/1-0/4-0/4-0
black,16-13/13-10/22-19/19-16
white,4-2/2-0
black,4-1/10-8
white,4-3/3-0
black,8-4/16-15
white,4-3/3-0
black,4-2/15-11
white,4-1/1-0/4-1/1-0
black,2-1/11-7
white,4-1/1-0
black,4-3/3-1
white,4-3/3-0
black,7-2/1-0
white,4-0/4-0/4-0/4-0
black,2-0/4-0/4-0/4-0
white,4-1/1-0
