player_color,move
black,13-7/7-4
white,6-5/8-4
black,6-4/6-5
white,8-4/24-18
black,6-4/8-4
white,13-7/13-7/13-7/24-18
black,5-3/6-4/3-1/6-4
white,5-4/8-4
black,13-11/11-10
white,6-4/6-4/18-16/16-14
black,10-8/13-10
white,6-4/7-4
black,8-4/13-10
white,13-9/13-12
black,25-22/10-4
white,6-4/9-8
black,8-4/10-4
white,8-4/14-8
black,24-19/19-16
white,7-6/8-4
black,8-3/22-20
white,6-4/18-13
black,16-12/12-8/8-4/24-20
white,25-20/7-2/20-15/15-10
black,20-14/14-9
white,10-6/6-2/12-8/8-4
black,9-4/20-15/15-10/10-5
white,2-0/2-0
black,3-0/5-0
white,4-3/4-0
black,1-0/4-1
white,3-2/2-0
black,4-3/3-0
white,4-0/4-0
black,4-2/2-0
white,4-2/2-0
black,4-3/4-0
white,4-0/4-0/4-0/4-0
black,3-0/4-0/4-0/4-0
white,4-3/3-0
black,4-0/4-0
white,4-2/4-0
black,4-0/4-0
white,4-0/2-0
