game,avg_loss,final_loss
0,0.00390625,0.09375
1,0.0014113859543877264,0.08750592917203903
2,0.0019729937613010406,0.09864968806505203
3,0.0038562469805280366,0.09254992753267288
4,0.0019004929648793261,0.087422676384449
5,0.0017280869472485322,0.08986052125692368
6,0.006921715413530667,0.08306058496236801
7,0.0022340811789035796,0.08936324715614319
8,0.0041115634143352505,0.08223126828670502
9,0.0016299500737501228,0.07497770339250565
10,0.0009410112268394894,0.06775280833244324
11,0.0016689645392554146,0.11682751774787903
12,0.0013429796279862869,0.11549624800682068
13,0.002115601906552911,0.06769926100969315
14,0.0011703668592067866,0.0608590766787529
15,0.0026758728548884393,0.10703491419553757
16,0.0014993801712989807,0.05997520685195923
17,0.0011125204619020224,0.05340098217129707
18,0.0019714293691019216,0.04731430485844612
19,0.0007740893849620113,0.04180082678794861
20,0.0034215419242779412,0.12317550927400589
21,0.009483751530448595,0.11380501836538315
22,0.005217558145523072,0.10435116291046143
23,0.004688121688862641,0.0562574602663517
24,0.0013047415567071813,0.049580179154872894
25,0.018187229832013447,0.10912337899208069
26,0.0032952214280764264,0.09885664284229279
27,0.008874310553073883,0.08874310553073883
28,0.001127942545073373,0.07895597815513611
29,0.005333170294761658,0.07466438412666321
30,0.00651517075796922,0.07818204909563065
31,0.0013751045421317772,0.07425564527511597
32,0.000656706107369924,0.07749132066965103
33,0.0007878114837546681,0.06775178760290146
34,0.0037727802991867065,0.08300116658210754
35,0.002787986913552651,0.07248765975236893
36,0.004840220790356398,0.07744353264570236
37,0.0014474578201770782,0.07237289100885391
38,0.0021342264695299994,0.07683215290307999
39,0.0011857245117425919,0.06640057265758514
40,0.004078516470534461,0.05709923058748245
41,0.0019491232103771633,0.14033687114715576
42,0.0010413342714309692,0.05206671357154846
43,0.0017273023437995177,0.04490986093878746
44,0.0016169721881548564,0.03880733251571655
45,0.0015830662339291674,0.14880822598934174
46,0.0007830014607558647,0.03758407011628151
47,0.004531623079226567,0.11782220005989075
48,0.0013455470403035481,0.040366411209106445
49,0.0005832805608709653,0.03499683365225792
50,0.0009527396759949625,0.0304876696318388
51,0.000580752227941285,0.02671460248529911
52,0.0010313763068272516,0.13407891988754272
53,0.0018900891300290823,0.12096570432186127
54,0.0023697823766739242,0.14692650735378265
55,0.004296976452072461,0.10312743484973907
56,0.0007373467635582475,0.05013957992196083
57,0.0011871388802925753,0.09971966594457626
58,0.005229205638170242,0.05229205638170242
59,0.0007467615107695261,0.04480569064617157
