game,avg_loss,final_state_loss,plys
0,0.13902579247951508,0.8651967644691467,55
1,0.11533176898956299,0.0017403814708814025,45
2,0.09497392922639847,0.04610055312514305,56
3,0.12045831233263016,0.001357347471639514,73
4,0.07922446727752686,0.031117822974920273,57
5,0.15631453692913055,0.2745935916900635,56
6,0.1694948673248291,0.5749812722206116,57
7,0.1217537447810173,0.044179052114486694,46
8,0.14442503452301025,0.008459683507680893,54
9,0.14761513471603394,0.11797139048576355,67
10,0.09330223500728607,0.0018377514788880944,53
11,0.15367671847343445,0.0714845284819603,66
12,0.09942690283060074,0.0009229787392541766,63
13,0.18960553407669067,0.007261474151164293,60
14,0.14868469536304474,0.0012731270398944616,47
15,0.17371128499507904,1.1916674375534058,47
16,0.18029317259788513,0.40693768858909607,60
17,0.0914965346455574,1.1878833770751953,52
18,0.10816951096057892,0.0016643698327243328,65
19,0.0683150440454483,0.012200350873172283,57
20,0.1239943727850914,0.06692854315042496,45
21,0.15457335114479065,0.16974331438541412,38
22,0.1379624307155609,1.3024827241897583,51
23,0.11936633288860321,0.006459656171500683,63
24,0.15989387035369873,0.12840472161769867,46
25,0.08804957568645477,0.06891809403896332,52
26,0.11853146553039551,0.025918638333678246,72
27,0.14046061038970947,0.007795121055096388,61
28,0.14954043924808502,0.06930273771286011,74
29,0.10445896536111832,0.051996853202581406,76
30,0.09042122960090637,0.18665175139904022,53
31,0.1217435970902443,0.010490162298083305,47
32,0.13185013830661774,0.12820421159267426,78
33,0.09735807031393051,0.12071013450622559,62
34,0.08272422105073929,0.036749035120010376,64
35,0.1166812926530838,0.01007373258471489,56
36,0.18730083107948303,0.25283581018447876,58
37,0.08486609160900116,0.07625309377908707,50
38,0.13305312395095825,0.06162025034427643,60
39,0.04751264676451683,0.06940986216068268,46
40,0.1649249643087387,0.1622033417224884,37
41,0.046494606882333755,0.03901953250169754,50
42,0.08268191665410995,0.06775582581758499,64
43,0.0934046283364296,1.4341962337493896,67
44,0.09750783443450928,0.015752620995044708,78
45,0.08701346814632416,1.2508974075317383,47
46,0.14617092907428741,0.008832018822431564,53
47,0.11033578217029572,0.008446849882602692,51
48,0.08587276935577393,0.0074720983393490314,55
49,0.1371571123600006,0.006301443558186293,59
50,0.18919050693511963,0.06844033300876617,55
51,0.12127843499183655,0.007348847575485706,59
52,0.14318330585956573,0.0336279422044754,68
53,0.10473224520683289,0.03577070310711861,66
54,0.12679389119148254,0.6156479120254517,62
55,0.10518709570169449,0.09763436764478683,74
56,0.06170913949608803,0.07543747127056122,58
57,0.15085498988628387,0.441254198551178,44
58,0.1466583013534546,0.012633793987333775,51
59,0.16242298483848572,0.16672392189502716,52
60,0.05418075993657112,0.018528828397393227,48
61,0.05424267798662186,0.024824712425470352,52
62,0.05644591525197029,0.026127919554710388,64
63,0.15088263154029846,0.7961974740028381,49
64,0.1824866533279419,1.5224628448486328,53
65,0.13124412298202515,0.003508638823404908,55
66,0.0833812803030014,0.38203901052474976,56
67,0.15346862375736237,0.14676910638809204,58
68,0.09910612553358078,0.004118397831916809,77
69,0.1347990185022354,0.000668751890771091,59
70,0.13174089789390564,0.04509900510311127,48
71,0.13246385753154755,0.4767094850540161,53
72,0.09238062053918839,0.08048386871814728,46
73,0.09415724873542786,0.033067528158426285,44
74,0.07567176967859268,0.047694724053144455,57
75,0.11731778830289841,0.593011200428009,57
76,0.12518294155597687,1.8025503158569336,55
77,0.1037350594997406,0.10966184735298157,52
78,0.15250524878501892,0.11428964138031006,56
79,0.1425798237323761,0.148909330368042,56
80,0.1262572854757309,0.025473037734627724,64
81,0.16076186299324036,0.19686917960643768,56
82,0.09899893403053284,0.043474338948726654,67
83,0.11766527593135834,0.1674637347459793,55
84,0.1495811492204666,0.11474695801734924,67
85,0.0975218117237091,0.004033985547721386,43
86,0.17766304314136505,0.3974589705467224,50
87,0.14219360053539276,0.10705192387104034,60
88,0.1044030487537384,0.01874896138906479,47
89,0.17366568744182587,0.818175733089447,65
