player_color,move
white,6-5/6-4
black,24-21/13-8
white,25-21/21-15
black,8-7/13-9
white,8-2/8-4
black,25-22/13-7
white,5-4/6-4
black,13-11/13-7
white,6-1/8-4
black,25-20/11-7
white,13-12/15-9
black,8-3/9-7
white,13-7/7-4
black,8-7/8-7/20-19/19-18
white,25-23/9-7/7-5/5-3
black,25-19/25-23
white,
black,19-17/23-17
white,25-21/21-15
black,6-2/7-2
white,25-20/13-12
black,17-11/17-11/11-5/11-5
white,25-24/3-1
black,6-2
white,13-10/24-22
black,25-23/6-2
white,10-4/22-16/16-10/10-4
black,23-18/18-12
white,
black,6-2/12-10
white,
black,6-2/10-9
white,25-21/25-21/21-17/17-13
black,5-2/9-3
white,13-10/10-4
black,7-3
white,12-10/21-20
black,25-20/3-2
white,10-7/12-10
black,20-14/14-13
white,7-4/10-9
black,7-3/13-10
white,9-7/7-5/5-3/3-1
black,3-2/7-3
white,24-21/21-16
black,2-1/2-1/2-1/2-1
white,25-19/16-10/10-4/19-13
black,7-1/7-1/7-1/10-4
white,13-8/8-3/20-15/15-10
black,3-1/4-0
white,4-1/10-6
black,2-1/3-1
white,3-2/4-1
black,2-0/2-1
white,4-1/6-4
black,1-0/1-0/2-1/2-1
white,2-1/4-1
black,1-0/1-0/1-0/1-0
white,1-0/4-3/3-2/2-1
black,1-0/1-0
white,4-3/3-0
black,1-0/1-0
white,4-1/1-0
black,1-0/1-0
white,4-1/4-1/4-1/4-1
black,1-0
