player_color,move
white,8-7/7-4
black,6-4/6-4/13-11/6-4
white,24-23/24-18
black,6-1/6-1/13-8/13-8
white,8-2/23-18
black,8-4/11-8
white,13-8/13-8/13-8/8-3
black,8-2/13-8
white,6-2/8-4/8-4/8-4
black,8-4/13-10
white,13-12/13-10
black,8-5/10-8
white,3-2/10-4
black,8-6/6-1
white,18-13/18-12
black,5-4/8-6
white,6-4/13-10
black,6-2/8-4/8-4/24-20
white,2-1/10-4
black,25-20/2-1
white,6-2/6-4
black,20-18/20-15
white,12-8/12-8/8-4/8-4
black,18-13/13-9
white,6-3/3-0
black,9-3/15-12
white,2-0/2-1
black,12-6/6-3
white,1-0/2-0
black,4-1/2-0
white,4-3/3-1
black,3-2/4-1
white,1-0/1-0
black,3-1/2-0
white,4-3/3-2/2-1/1-0
black,4-1/1-0
white,4-3/3-0
black,4-0/4-0
white,4-2/2-0
black,1-0/1-0/4-1/4-1
white,4-3/3-2/2-1/1-0
black,4-2/2-0
white,4-0/4-0
black,1-0/1-0
white,4-3/3-0
black,1-0/1-0
white,4-2/2-0
black,1-0/1-0
white,4-2/2-0
