player_color,move
white,8-4/13-8
black,13-7/13-8
white,6-4/6-5
black,7-6/24-18
white,6-4/8-4
black,24-23/23-18
white,5-1/8-4/8-4/24-20
black,6-4/18-17
white,6-2/2-1
black,13-8/17-16
white,6-3/24-20
black,8-4/13-8
white,13-9/9-8
black,25-23/23-22
white,25-24/24-18
black,8-2/13-8
white,13-8/13-10
black,8-7/7-4
white,25-22/10-4
black,2-1/6-4
white,8-4/13-8
black,18-15/15-12/22-19/19-16
white,8-3/8-4
black,8-4/12-6
white,22-18/18-13
black,6-4/16-15
white,3-2/13-8
black,15-9/9-8
white,8-5/5-3
black,6-1/8-7
white,20-14/14-9
black,6-3/7-4/8-5/5-2
white,25-20/9-8
black,6-3/8-4
white,20-17/17-12
black,25-19/6-4
white,2-1/8-2
black,3-1/19-16
white,12-11/11-10/10-9/9-8
black,
white,8-7/7-4
black,25-20/20-15/15-10/10-5
white,2-0/3-0
black,5-2/3-0
white,1-0/1-0
black,4-2/2-0
white,1-0/4-1
black,1-0/2-0/2-0/4-1
white,1-0/4-3/3-2/2-1
black,4-2/2-0/4-2/2-0
white,4-3/1-0
black,1-0/1-0
white,3-1/1-0
black,4-2/2-0
white,4-0/4-0
black,4-2/2-1
white,4-3/3-0
black,1-0/4-0/4-0/4-0
white,4-2/2-1
black,1-0
