player_color,move
white,6-4/6-5
black,13-7/13-11
white,5-4/13-10
black,13-11/13-9
white,8-4/13-10
black,9-7/13-7
white,6-4/13-12
black,8-2/11-7
white,6-4/6-4/24-22/22-20
black,6-4/4-1
white,25-20/20-15/20-15/15-10
black,8-7/24-22
white,10-9/9-4
black,8-7/11-7
white,8-6/6-1
black,25-23/6-1
white,8-6/15-12
black,2-1/6-3
white,6-4/10-4
black,23-19/19-15/15-11/11-7
white,25-21/21-20
black,6-3/7-1
white,13-9/9-6
black,3-2/6-3
white,6-4/13-9
black,2-1/22-18
white,9-8/8-6
black,18-16/16-14/14-12/12-10
white,12-9/9-4
black,3-2/7-1
white,6-2/2-1
black,2-1/7-3
white,12-8/8-4/20-16/16-12
black,3-2/7-1
white,12-6/6-1
black,7-3/7-1
white,4-1/1-0
black,7-3/10-7
white,1-0/1-0
black,3-1/7-2
white,4-0/1-0
black,7-3/3-0
white,4-0/4-0
black,3-0/3-0
white,4-0/4-0
black,2-1/2-0
white,4-2/2-0
black,1-0/1-0
white,4-1/4-1/4-1/4-1
black,1-0/1-0
white,1-0/1-0/1-0/1-0
black,1-0/1-0
white,4-0
