player_color,move
white,13-8/13-10
black,13-8/24-23
white,8-4/10-4
black,6-2/8-4/8-4/8-4
white,24-23/23-18
black,25-24/6-4
white,6-4/24-23
black,13-7/7-1/24-18/24-18
white,25-24/8-4
black,25-20/8-4
white,8-5/5-4
black,25-24/23-18
white,6-5/6-5/5-4/5-4
black,13-7/7-6
white,8-4/23-18
black,6-4/13-9
white,6-4/24-20
black,9-4/24-23
white,6-2/2-1
black,25-19/13-8
white,13-8/18-16
black,8-4/19-14
white,13-12/13-8
black,6-1/18-14
white,12-9/9-4
black,6-1/14-8
white,8-6/6-1
black,6-4/14-8
white,8-4/16-13
black,8-4/18-16
white,13-7/7-6
black,25-19/8-6
white,25-23/23-22
black,6-2/16-12/12-8/8-4
white,22-18/18-16
black,19-16/16-14
white,20-18/18-13
black,2-1/14-12
white,25-19/19-17
black,12-6/6-1
white,17-12/12-8
black,4-3/3-0
white,8-4/16-12/12-8/8-4
black,1-0/1-0
white,1-0/1-0
black,4-2/2-0
white,4-1/1-0
black,4-2/2-1
white,4-2/2-0
black,4-1/1-0
white,4-1/1-0
black,4-0/4-0/4-0/4-0
white,4-0/4-0
black,1-0/1-0/1-0/4-1
white,4-1/1-0
black,4-3/3-0
white,4-0/4-0
black,4-2/2-0
white,4-3/3-0
black,1-0
