player_color,move
white,6-4/6-3
black,6-4/13-10
white,6-2/8-4/8-4/8-4
black,6-4/10-4
white,6-4/6-3
black,13-8/24-18
white,24-22/24-23
black,13-10/10-4
white,13-7/22-16/16-10/10-4
black,25-23/23-20
white,
black,6-1/24-18
white,25-22/25-24
black,25-24/13-10
white,13-7/7-2
black,25-24/13-10
white,13-9/9-7
black,6-3/10-4
white,25-20/7-3
black,3-1/6-1
white,25-23/13-7
black,8-6/6-4/8-6/6-4
white,7-4/13-7
black,8-3/10-4
white,7-2/20-14
black,8-4/20-19
white,14-9/9-4/23-18/23-18
black,19-14/14-11
white,18-14/18-15
black,25-19/19-14
white,14-9/9-4/15-10/10-5
black,14-9/9-6
white,2-0/2-0/3-0/3-0
black,6-1/24-18
white,3-0/5-0
black,3-2/24-20
white,4-1/1-0/4-1/1-0
black,4-1/18-15/15-12/12-9
white,4-2/2-0
black,2-1/9-3
white,4-3/3-0
black,20-19/19-14
white,4-1/1-0
black,14-10/10-4
white,4-1/1-0
black,3-1/1-0
white,4-0/4-0
black,4-1/4-3
white,4-0
