player_color,move
white,13-8/13-10
black,13-11/13-7
white,10-7/13-10/7-4/13-10
black,8-7/13-9
white,8-4/13-10
black,13-8/13-9
white,10-9/9-4
black,6-3/8-7
white,6-4/6-3
black,6-4/4-2/9-7/9-7
white,3-2/8-4
black,11-7/24-22
white,6-3/10-4
black,25-24/6-2
white,6-4/6-3
black,6-2/8-7
white,8-6/6-3
black,6-2/8-3
white,3-2/8-4
black,24-20/20-16/16-12/12-8
white,10-8/8-4
black,8-6/6-2
white,4-1
black,25-19/19-16
white,24-19/24-20
black,16-13/13-7
white,19-13/13-12
black,3-1/7-3
white,20-17/17-16
black,2-1/2-1/2-1/2-1
white,12-6/6-4
black,7-2/7-2/7-2/7-2
white,16-12/12-6
black,7-3/7-3/7-3/3-0
white,3-1/6-1
black,2-1/3-1
white,2-1/3-1
black,2-0/3-0/3-0/3-0
white,4-2/2-0
black,1-0/2-0/2-0/2-0
white,4-2/2-0
black,1-0/1-0
white,1-0/2-0
black,1-0/1-0
white,4-3/3-0
black,1-0/1-0
