player_color,move
white,13-10/13-10/24-21/21-18
black,13-7/7-4
white,25-23/13-10
black,8-4/13-10
white,13-9/9-8
black,13-10/13-8
white,6-5/10-9/9-8/24-23
black,6-4/13-10
white,23-20/20-16
black,10-4/10-9
white,25-23/6-5
black,8-4/8-4/8-4/10-6
white,6-2/10-8
black,6-5/6-5/5-4/5-4
white,23-17/17-16
black,25-24/6-1
white,23-18/18-16
black,6-4/24-18
white,6-5/13-7
black,25-22/6-1
white,7-5/16-10
black,22-16/24-22
white,10-5/16-10
black,22-21/24-23/23-22/22-21
white,25-19/10-6
black,21-15/15-11
white,25-20/6-1/20-15/6-1
black,21-18/18-16
white,19-13/13-8
black,11-6/16-10
white,25-22/8-7
black,6-1/10-7
white,7-5/22-17
black,7-1/16-12
white,8-6/17-11
black,12-7/7-6
white,5-1/11-6
black,6-3/3-2
white,5-2/6-5
black,2-1/1-0
white,6-3/3-1
black,1-0/1-0
white,8-2/8-3
black,4-3/3-1
white,8-5/8-3
black,4-1/1-0
white,5-1/8-5
black,4-1/1-0
white,3-0/3-0
black,4-2/2-0
white,5-1/2-0
black,4-2/2-0
white,5-2/2-0
black,4-2/2-0
white,2-1/5-1
black,1-0/1-0
white,5-3/3-0
black,4-1/1-0
white,5-3/3-0
black,1-0/4-0
white,1-0/1-0/1-0/5-1
black,4-1/1-0
white,1-0/1-0/1-0/1-0
black,4-1/1-0
