player_color,move
white,6-4/6-3
black,8-4/8-2
white,8-3/8-2
black,8-4/13-7
white,8-4/13-8
black,7-6/13-9
white,13-10/10-4
black,9-4/24-18
white,6-1/6-3
black,25-24/18-14
white,25-20/8-2
black,24-19/19-18
white,
black,13-10/14-13
white,25-20/20-15/20-15/15-10
black,25-20/6-4
white,10-4/13-7/7-1/13-7
black,25-19/19-18
white,25-22/13-8
black,6-2/13-9/18-14/14-10
white,25-22/24-22
black,2-1/13-10
white,25-24/8-3
black,25-20/13-10
white,22-17/17-16
black,
white,22-16/24-23
black,
white,2-1/2-1/3-2/23-22
black,
white,22-17/17-12/12-7/7-2
black,
white,2-1/22-16
black,
white,16-13/16-12
black,
white,2-1/13-8
black,
white,8-4/16-13
black,25-19/25-23
white,3-1/13-12
black,6-5/6-5/5-4/5-4
white,12-8/8-3
black,6-4/10-6
white,12-6/6-2
black,
white,1-0/1-0
black,
white,1-0/1-0/1-0/1-0
black,25-24/25-19
white,2-0/3-0
black,6-3/10-4
white,3-0/3-0/4-0/4-0
black,6-3/10-4
white,4-1/1-0
black,25-20/3-1
white,4-3/3-0
black,3-1/19-16
white,4-0
