player_color,move
white,6-5/6-5/24-23/24-23
black,6-4/6-5
white,23-20/20-16
black,25-24/6-4
white,13-11/11-7
black,6-4/6-4/13-11/11-9
white,25-23/13-10
black,8-4/9-4
white,23-20/20-19
black,24-22/24-23
white,7-1/10-8
black,25-23/13-8
white,13-11/11-5
black,13-10/23-18
white,6-3/3-1
black,25-22/8-4
white,13-11/23-19
black,10-4/13-8
white,11-9/19-16
black,13-8/18-12
white,
black,12-6/6-3
white,
black,4-1/4-1/8-5/5-2
white,
black,3-1/22-16
white,
black,16-13/23-22
white,25-22/25-20
black,13-8/22-16
white,
black,2-1/8-3
white,
black,16-11/11-10
white,25-23/25-20
black,10-6/6-4
white,5-3/3-1/20-18/18-16
black,8-6/6-3
white,23-19/19-14
black,8-3/8-2
white,16-14/20-19
black,2-0/3-0/3-0/3-0
white,6-1/6-1/8-3/19-14
black,1-0/1-0
white,8-3/14-8
black,1-0/1-0
white,3-2/5-1
black,4-0/4-0
white,5-1/14-10/14-10/10-6
black,4-3/3-2/2-1/1-0
white,2-1/3-1
black,4-1/1-0
white,6-3/3-1
black,4-0/4-0/4-0
