player_color,move
white,13-7/24-23
black,8-4/24-23
white,13-10/24-20
black,13-10/10-4
white,7-1/13-10
black,25-21/13-7
white,6-1/13-7
black,7-4/8-4
white,6-5/5-1
black,8-2/23-18
white,25-22/25-23
black,25-22/13-10/10-7/7-4
white,6-1/22-20
black,6-4/21-18
white,6-1/23-17
black,6-4/13-10
white,17-14/20-16
black,10-4/13-10
white,6-1/14-13
black,6-4/10-4
white,13-8/20-16
black,6-2/2-1
white,10-6/10-8
black,6-1/22-19
white,25-19/8-2/19-13/16-10
black,18-16/19-18
white,8-5/8-6
black,16-10/10-9
white,25-20/20-19
black,9-5/18-16
white,8-6/19-16
black,5-4/18-16
white,6-5/8-6
black,16-13/13-9
white,25-20/20-19
black,9-4
white,6-1/10-6
black,16-10/10-9
white,13-12/12-6
black,9-6/6-1
white,25-19/19-17
black,4-3/3-0
white,6-1/17-15
black,1-0/4-1
white,15-9/9-6
black,4-0/4-0/4-0/4-0
white,5-3/13-7
black,1-0/1-0
white,5-1/7-1
black,1-0/4-0
white,2-0/3-0/6-0/6-0
black,4-0/4-0
white,1-0/1-0/1-0/6-1
black,4-0/4-0/4-0
