player_color,move
white,6-5/6-5/5-4/5-4
black,13-9/13-9/24-20/20-16
white,6-2/8-4/8-4/8-4
black,13-9/16-15
white,2-1/24-20
black,25-22/13-7
white,6-1/13-7
black,13-8/22-19
white,25-20/7-1
black,7-4/19-14
white,13-8/13-12
black,6-4/15-11
white,8-7/7-6/6-5/5-4
black,6-1/14-8
white,25-20/13-12
black,9-3/9-8
white,13-10/10-8
black,4-3/9-3
white,8-7/7-4
black,6-4/8-4
white,20-14/14-13
black,25-23/6-3
white,12-6/6-4
black,23-19/19-13
white,
black,13-7/7-4
white,25-19/20-18
black,
white,19-18/20-14
black,
white,13-7/7-1/14-8/18-12
black,25-22/4-1/22-19/4-1
white,18-15/15-9
black,19-18/18-15
white,9-6/6-4
black,15-10/10-8
white,8-7/7-2
black,8-5/5-1
white,12-11/11-8
black,8-7/7-1
white,2-1/8-4
black,3-1/8-2
white,1-0/1-0
black,2-1/4-1
white,1-0/4-3/3-2/2-1
black,8-7/7-1
white,1-0/1-0
black,3-2/2-1/3-2/2-1
white,4-1/1-0
black,8-5/8-5/5-2/2-0
white,4-2/2-1
black,5-4/1-0
white,1-0/1-0/4-0/4-0
black,4-2/2-1
white,4-2/2-0
black,1-0/1-0
white,4-1/1-0
black,4-1/1-0
white,4-1/1-0
black,1-0/1-0
white,4-0/4-0
