player_color,move
white,8-3/24-23
black,6-4/13-10
white,6-3/6-3/6-3/6-3
black,6-4/10-4
white,6-2/8-4/8-4/24-20
black,6-4/13-10
white,13-8/23-22
black,6-5/10-4
white,25-24/8-3
black,5-3/8-6/6-4/6-4
white,25-20/20-16
black,24-19/19-14/14-9/9-4
white,25-22/13-8
black,25-24/8-6
white,8-4/13-10
black,6-4/24-18
white,13-9/9-8
black,8-5/5-4
white,8-3/10-4
black,13-12/18-16
white,25-23/22-16
black,13-12/16-14
white,2-1/23-22/24-23/23-22
black,25-20/13-12
white,16-12/22-16
black,12-10/10-8/8-6/6-4
white,22-18/18-15
black,12-7/7-3
white,12-8/16-15
black,14-11/11-7
white,8-7/7-1
black,3-1/7-2
white,15-10/10-6
black,2-1/12-9
white,6-3/15-9
black,9-6/6-3/20-17/17-14
white,9-3/1-0
black,3-1/14-9
white,1-0/3-0/3-0/3-0
black,4-1/9-3
white,3-1/1-0
black,1-0/1-0/1-0/3-0
white,3-0/3-0/3-0/3-0
black,4-2/2-1
white,3-1/1-0
black,4-2/2-1
white,4-0/4-0
black,4-3/3-0
white,4-1/1-0/4-1/1-0
