player_color,move
white,8-3/13-8/13-8/13-8
black,13-10/10-4
white,8-4/24-18
black,6-4/8-4
white,8-4/13-8
black,8-4/24-18
white,13-8/24-18
black,8-4/18-12
white,8-7/7-1
black,25-22/6-4
white,25-20/6-4
black,13-10/13-12
white,8-4/8-3
black,
white,8-4/20-14
black,25-22/22-18
white,25-23/8-4
black,10-9/9-4
white,6-2/6-2/14-10/10-6
black,6-4/18-12
white,6-2/23-20
black,6-4/13-10
white,2-1/6-4
black,6-3/12-9/9-6/13-10
white,6-4
black,6-4/10-9
white,18-17/18-17/17-16/17-16
black,25-20/10-8
white,16-10/10-5
black,25-19/19-16
white,20-18/18-12
black,3-1/8-4
white,12-10/10-8/8-6/6-4
black,12-11/11-6
white,5-3/16-12
black,12-9/9-5
white,12-7/7-6
black,6-1/16-10
white,6-2/2-0
black,10-5/4-0/4-0/4-0
white,2-0/3-0
black,5-1/1-0
white,1-0/2-1/4-3/3-2
black,5-2/2-0
white,2-1/1-0
black,4-2/2-0
white,1-0/1-0
black,4-3/3-0
white,4-0/4-0
black,4-1/1-0
white,4-1/1-0
black,1-0/4-1
white,4-2/2-0
black,1-0/1-0/4-1/4-1
white,4-2/2-0/4-2/2-0
black,1-0/1-0
white,4-1/1-0
black,4-2/2-1
white,4-1/1-0
