player_color,move
white,13-7/7-6
black,13-8/13-11
white,6-4/6-5
black,13-7/24-21
white,25-24/5-4/4-3/3-2
black,25-21/13-7
white,6-1/8-2
black,25-20/13-11
white,6-4/13-10
black,25-21/8-7
white,25-20/10-4
black,25-22/8-7
white,6-4/8-4
black,8-6/11-7
white,13-7/13-7/7-1/7-1
black,6-3/20-18
white,8-2/13-12
black,6-4/4-3
white,6-3/12-9/9-6/6-3
black,
white,24-21/21-16
black,
white,20-14/14-9
black,25-20/25-20/20-15/20-15
white,3-1/24-20
black,3-1/3-1/6-4/4-2
white,25-21/9-6
black,2-1/8-7/15-14/15-14
white,16-10/21-20
black,6-3/6-3/14-11/14-11
white,6-1/10-6
black,3-1/6-1
white,2-1/6-4
black,3-1/11-8
white,2-1/20-15
black,8-3/3-1
white,3-1/15-9
black,18-16/16-13
white,25-20/4-1
black,7-1/13-12
white,20-16/16-12/12-8/8-4
black,11-10/12-8
white,20-17/17-16
black,25-22/7-1
white,16-10/10-4/1-0/2-0
black,22-19/19-16/16-13/13-10
white,4-2/2-0/4-2/2-0
black,10-8/8-3
white,4-1/1-0
black,7-3/10-4
white,1-0/1-0
black,7-3/7-2
white,1-0/4-1
black,3-1/4-1
white,4-2/2-0
black,7-1/3-0
white,1-0/1-0
black,3-1/2-0
white,1-0/1-0
black,1-0/1-0
white,1-0/1-0
