player_color,move
white,8-2/8-2/24-18/24-18
black,6-4/24-18
white,6-1/8-2
black,25-24/18-17/17-16/16-15
white,25-20/6-4
black,8-5/5-4
white,25-23/18-14
black,8-4/13-10
white,6-5/6-5/5-4/5-4
black,6-4/10-4
white,6-4/13-11/11-9/18-16
black,13-10/24-18
white,9-4/23-22
black,10-7/13-10/7-4/13-10
white,13-7/7-4
black,25-20/15-14
white,13-8/13-10
black,6-4/13-12
white,25-22/10-4
black,8-5/5-4
white,2-1/8-4
black,12-7/7-4
white,14-9/22-20
black,10-4/14-9
white,25-23/9-7/7-5/5-3
black,25-22/9-8
white,25-20/22-18
black,10-4/22-19
white,18-16/23-20
black,8-7/7-4
white,16-12/12-6
black,25-19/6-2
white,25-22/22-18
black,6-4/19-13
white,18-17/17-12
black,
white,12-6/6-2
black,
white,2-1/20-16
black,
white,16-11/11-6/6-1/20-15
black,
white,15-9/9-5
black,25-20/2-1
white,25-24/24-20
black,25-20/20-19
white,20-17/17-12
black,19-13/13-9
white,25-22/22-18
black,9-7/7-3
white,25-19/19-15
black,20-19/19-16
white,15-11/11-6
black,16-10/10-8
white,20-14/14-8/8-2/6-0
black,3-1/8-5
white,1-0/2-0/2-0/2-0
black,4-1/5-0
white,4-1/1-0
black,4-3/3-0
white,1-0/1-0
black,4-3/3-0
white,4-0/4-0/4-0/4-0
black,4-3/3-0
white,4-1/1-0
black,4-0/4-0/4-0/4-0
white,4-0/4-0
