player_color,move
white,13-8/13-11
black,13-8/24-23
white,6-1/11-7
black,
white,24-22/22-20/20-18/18-16
black,
white,13-10/24-20
black,25-23/13-7
white,6-5/6-1
black,7-4/23-18
white,
black,8-6/23-18
white,25-20/5-1
black,8-4/8-7
white,20-14/20-14/14-8/14-8
black,7-4/8-2
white,6-1/13-10
black,6-3/13-9
white,25-24/24-18
black,9-8/8-4
white,6-1/18-16
black,6-4/13-12
white,25-20/20-14
black,12-8/13-12
white,16-13/13-9
black,25-22/2-1
white,8-5/9-6/14-11/11-8
black,6-4/8-4
white,5-1/8-5
black,6-3/6-2
white,8-5/10-9
black,6-3/22-16
white,25-24/5-1
black,25-20/18-16
white,25-20/20-19
black,16-12/12-8/8-4/16-12
white,19-17/24-19
black,12-9/9-4
white,19-14/14-8
black,18-12/12-8
white,25-19/19-15
black,20-15/15-9
white,25-20/20-16
black,25-22/22-20
white,15-14/14-8
black,8-7/7-4
white,6-1/8-4
black,20-14/14-10
white,16-11/11-7
black,2-1/3-2/10-9/9-8
white,4-2/7-1
black,2-1/8-3
white,8-6/8-5
black,3-0/3-0
white,5-1/8-6
black,3-1/1-0
white,6-1/6-5
black,1-0/1-0
white,8-7/7-1
black,4-1/1-0
white,8-3/3-0
black,4-3/3-0
white,2-0/5-0
black,4-1/1-0/4-1/1-0
white,1-0/1-0
black,4-1/1-0
white,1-0/1-0
black,4-2/2-0
white,1-0/1-0
black,4-0/4-0/4-0/4-0
