player_color,move
white,8-3/13-8/13-8/13-8
black,8-7/7-4
white,13-8/13-10
black,6-3/13-8
white,8-2/8-2/8-2/10-4
black,8-7/7-4
white,6-3/8-2
black,6-4/13-12
white,6-4/8-4
black,13-8/24-18
white,6-3/8-4
black,6-2/8-4/8-4/8-4
white,24-18/18-15
black,6-4/18-12
white,24-18/18-15
black,24-18/18-14
white,6-3/15-10
black,13-10/10-4
white,25-22/2-1
black,25-19/13-7/19-13/14-8
white,25-24/10-4
black,6-5/5-4/12-11/11-10
white,22-18/18-16
black,25-20/13-12
white,2-1/24-20
black,10-4/20-15
white,20-18/18-15
black,15-9/9-8
white,25-19/15-11
black,8-3/8-4
white,11-9/19-16
black,12-7/7-2/12-7/7-2
white,9-3/16-10/10-4/3-0
black,2-1/2-0
white,4-1/3-0
black,4-1/2-0
white,3-1/2-0
black,3-1/1-0
white,4-1/1-0
black,4-2/2-0
white,1-0/1-0/1-0/1-0
black,4-0/4-0
white,3-1/2-0
black,1-0/4-1
white,3-1/1-0
black,4-3/3-0
white,4-0/4-0/4-0/4-0
black,4-0/4-0
white,1-0
