player_color,move
white,6-2/8-4/8-4/8-4
black,24-18/24-23
white,25-22/24-20
black,13-11/13-10
white,6-4/24-23
black,13-10/13-9
white,20-14/22-16/16-10/10-4
black,
white,13-10/23-22
black,
white,13-11/11-10
black,
white,6-4/10-6
black,
white,13-8/13-10
black,25-22/25-22/10-7/7-4
white,10-9/9-4
black,13-11/18-12
white,25-24/25-23
black,22-17/23-18/18-13/13-8
white,25-22/6-4
black,10-6/12-8/22-18/18-14
white,6-2/2-1
black,14-13/13-11
white,6-5/5-1
black,17-13/13-10
white,23-22/24-20
black,6-5/5-1
white,
black,6-5/5-1
white,
black,8-4/10-4
white,25-23/22-18
black,11-5/5-1
white,22-18/23-22
black,4-1/11-5
white,10-7/7-4/18-15/15-12
black,4-1/4-1/5-2/8-5
white,12-9/9-8
black,2-1/6-4
white,18-12/22-20
black,25-20/6-3
white,25-20/8-7
black,4-3/20-14
white,7-5/5-1
black,14-13/13-8
white,25-21/21-20
black,6-4/8-2
white,20-16/16-14
black,2-1/6-3
white,20-16/16-12/12-8/8-4
black,4-1/8-5/5-2/8-5
white,25-19/14-13
black,8-3/2-0
white,13-8/19-14/14-9/9-4
black,1-0/5-0
white,8-3/3-1
black,1-0/1-0
white,4-3/3-0
black,3-1/1-0
white,4-2/2-1
black,1-0/1-0/1-0/1-0
white,4-3/3-1
black,1-0/1-0/3-0/3-0
white,4-0/4-1
black,3-1/1-0
