player_color,move
white,6-2/13-8
black,8-4/24-21
white,13-7/13-7/7-1/7-1
black,25-23/6-5
white,25-23/23-20
black,25-22/6-4
white,13-10/20-15
black,8-5/5-4
white,8-5/10-4
black,25-20/20-15/13-8/15-10
white,25-22/25-20
black,23-20/20-18
white,13-9/8-2
black,10-5/5-4
white,25-24/9-3
black,25-20/6-5
white,2-1/8-4
black,8-7/20-16
white,24-18/24-22
black,25-23/23-17
white,25-24/18-14
black,5-2/13-7
white,14-9/9-5
black,25-23/6-5
white,4-1/5-3
black,8-2/23-17/17-11/17-11
white,6-1/22-18
black,25-20/5-2
white,3-1/3-1/4-2/24-22
black,6-4/13-9
white,24-19/6-3
black,9-4/13-8/13-8/20-15
white,6-4/4-2/22-20/20-18
black,11-8/15-9
white,2-1/19-13
black,2-1/11-5
white,18-14/14-13
black,5-2/2-1
white,13-7/7-1/13-7/7-1
black,25-21/9-5/21-17/17-13
white,18-12/12-9
black,25-20/8-5
white,6-1/9-6
black,5-1/20-16/16-12/5-1
white,22-18/6-3
black,8-5/8-5/5-2/5-2
white,18-15/3-2
black,12-7/7-2/1-0/1-0
white,15-12/12-10
black,4-0/1-0
white,10-4/3-0
black,1-0/2-0
white,4-2/2-0
black,4-2/4-3
white,1-0/1-0/2-1/2-1
black,2-0/2-0/2-0/3-0
white,1-0/1-0/1-0/1-0
black,2-0/2-0
white,1-0/1-0
black,4-3/3-0
white,1-0/1-0
black,4-1/1-0
white,1-0/1-0
black,4-0
