player_color,move
black,13-7/7-6
white,6-5/24-18
black,24-18/13-10
white,24-18/6-3
black,6-1/6-1/13-8/13-8
white,13-8/13-8/18-13/18-13
black,6-2/8-2
white,5-4/6-4
black,6-2/13-9/18-14/14-10
white,3-2/8-4
black,2-1/6-5/6-5/9-8
white,6-4/8-2
black,8-6/5-2
white,6-1/8-2
black,25-22/6-2
white,8-2/13-8
black,8-5/10-5
white,13-11/13-8
black,8-7/7-5
white,8-6/6-5
black,8-3/5-1
white,8-4/13-7
black,10-5/22-16
white,5-4/13-7
black,16-11/11-10
white,7-2/11-6/8-3/6-1
black,10-9/8-3
white,7-1/1-0/1-0/1-0
black,5-1/5-1/5-1/9-5
white,2-0/2-0/2-0/3-0
black,2-0/2-0/3-0/3-0
white,2-0/2-0
black,5-2/5-1
white,4-0/4-3
black,1-0/2-0
white,4-0/3-0
black,2-1/2-0
white,4-1/1-0
black,1-0/1-0
white,4-0/4-0
