player_color,move
white,8-2/8-5
black,8-7/7-3
white,6-5/5-4/5-4/4-3
black,13-9/8-6
white,8-6/4-2/13-11/11-9
black,9-3/13-8
white,9-4/13-7
black,13-9/9-6
white,7-2/13-9
black,24-20/8-5
white,13-7/7-1/24-18/24-18
black,25-22/20-14
white,25-24/9-3
black,25-21/14-10/10-6/21-17
white,25-24/18-15
black,8-2/13-7/17-11/11-5
white,
black,6-3/7-3
white,25-21/21-15
black,5-4/13-8
white,2-1/2-1/2-1/13-12
black,5-4/8-4
white,3-1/12-11
black,4-0/4-0
white,15-14/15-9
black,2-0/4-0
white,9-5/14-12
black,3-0/3-0
white,5-3/3-2
black,3-0/3-0/6-0/6-0
white,24-23/24-20
black,6-5/5-0
white,25-23/11-6
black,6-1/1-0
white,6-2/12-6
black,6-3/3-0
white,6-5/5-1
black,6-5/5-1
white,23-19/23-19/19-15/19-15
black,25-22/22-18
white,15-10/15-14
black,18-15/15-9
white,25-19/19-13/13-7/7-1
black,9-4/4-0
white,6-1/14-12
black,1-0
