player_color,move
black,13-11/11-5
white,6-4/24-21
black,5-4/4-1
white,25-23/25-23/8-6/23-21
black,8-5/24-21/21-18/18-15
white,25-22/22-16
black,15-13/8-4
white,25-24/16-10
black,25-22/8-7
white,6-2/6-2/8-4/8-4
black,6-5/7-3
white,13-11/6-5
black,6-2/2-1
white,
black,22-16/16-10/13-7/13-7
white,25-22/25-22/4-1/4-1
black,25-21/25-20
white,25-24/22-17
black,25-22/7-1
white,25-24/10-9/24-23/22-21
black,25-22/25-22/7-4/4-1
white,25-21/6-4
black,25-21/13-10
white,
black,6-2/6-2/13-9/9-5
white,25-22/25-22/22-19/22-19
black,25-21/10-9
white,17-13/21-19
black,9-8/13-8
white,13-8/19-13
black,10-8/22-20/20-18/20-18
white,9-8/13-9
black,8-7/7-4
white,19-16/19-13
black,8-6/6-1
white,13-8/8-2
black,22-16/16-10/21-15/15-9
white,25-21/25-22
black,25-20/9-8
white,8-5/5-4
black,
white,6-4/22-16
black,
white,16-10/10-8
black,25-19/25-20
white,11-10/10-9/9-8/13-12
black,8-5/19-15
white,21-15/4-1
black,
white,8-6/8-6/6-4/6-4
black,
white,15-12/12-9/12-9/9-6
black,
white,8-4/9-4
black,25-22/15-10
white,6-4/13-10
black,10-5/20-15/15-10/10-5
white,25-19/13-8
black,8-5/18-16
white,8-4/13-11
black,16-13/5-4
white,11-8/19-18
black,2-1/13-8
white,18-13/13-10
black,4-1/5-1
white,8-4/10-8
black,2-1/8-6
white,8-2/1-0
black,5-1/18-14/14-10/10-6
white,1-0/1-0
black,5-1/6-1
white,2-1/1-0
black,5-4/6-1
white,2-1/1-0/2-1/1-0
black,22-19/19-17
white,4-3/4-3/4-3/2-1
black,25-24/24-20
white,25-21/21-16
black,25-20/17-14
white,16-12/12-6
black,14-13/20-15
white,3-1/1-0
black,5-4/13-10
white,3-0/6-4
black,10-5/4-1
white,3-1/1-0
black,5-1/15-11/11-7/7-3
white,4-3/3-1
black,20-18/5-2
white,1-0/4-0
black,18-13/13-8/8-3/1-0
white,4-0/4-0
black,3-0/3-0
white,4-3/3-0
black,2-1/1-0
white,4-3/3-0
