player_color,move
white,6-2/6-4
black,6-5/6-5/24-23/6-5
white,25-24/6-1
black,25-24/6-5/24-23/6-5
white,25-21/13-10
black,13-9/9-7
white,8-6/21-15
black,13-9/23-22
white,6-2/13-9/10-6/9-5
black,25-21/7-4
white,25-19/6-3
black,25-20/21-15
white,25-22/3-1
black,9-5/20-15
white,22-18/8-7
black,13-10/13-11
white,25-21/21-15
black,
white,6-5/8-7/15-14/14-13
black,25-21/25-21/25-21/8-4
white,18-15/24-19
black,21-16/16-13
white,24-19/24-18
black,21-19/19-15
white,25-22/18-13
black,21-16/16-13
white,2-1/7-5
black,15-10/10-7
white,25-24/5-1
black,15-14/15-14/14-13/14-13
white,7-1/24-22
black,8-7/13-10
white,5-1/13-7
black,4-2/7-5/7-5/10-8
white,7-6/19-15
black,13-11/11-9/9-7/7-5
white,13-11/11-7
black,8-5/13-10/13-10/10-7
white,25-24/19-15
black,25-21/21-18
white,25-24/19-14
black,8-2/5-2
white,14-12/6-5
black,25-21/18-14/21-17/14-10
white,25-22/13-9
black,17-13/13-7
white,25-19/9-5
black,10-7
white,22-19/24-22
black,2-1/7-5
white,
black,2-1/7-5
white,25-23/22-17
black,25-23/23-19
white,13-7/7-1/17-11/11-5
black,19-16/16-10
white,5-1/19-17
black,7-6/10-8
white,
black,8-4/1-0/4-0/6-2
white,
black,2-0/1-0
white,25-24/25-24/25-24/24-23
black,5-2/2-0
white,25-19/19-13/13-7/13-7
black,5-4/5-2
white,5-3/3-1/24-22/24-22
black,5-1/1-0
white,5-1/7-5
black,5-0/5-2
white,5-2/2-1
black,2-0/2-0/4-0/5-0
white,7-1/22-17
black,5-1/1-0
white,22-19/19-13
black,
white,13-7/22-17
black,5-3/3-0
white,25-21/21-16
black,5-2/2-0/5-2/2-0
