player_color,move
white,13-8/6-2
black,6-4/13-8
white,8-2/24-23
black,6-2/13-8
white,25-22/6-4
black,6-2/13-8
white,6-4/13-10
black,6-3/8-4
white,25-24/13-8
black,8-5/13-7
white,13-8/13-10
black,5-2/13-8
white,24-19/24-19/19-14/14-9
black,25-20/20-14
white,9-6/6-5
black,7-2/8-4
white,10-4/19-13/13-7/10-4
black,14-12/24-18
white,25-24/8-5
black,3-2/12-11/11-10/10-9
white,4-1/8-2
black,25-22/18-16
white,8-7/4-1
black,9-4/16-14
white,6-1/6-1/7-2/8-3
black,25-19/14-11
white,4-1/24-19
black,8-2/8-2/8-2/19-13
white,19-14/14-8
black,
white,2-1/3-1
black,25-21/21-18
white,25-19/8-5
black,8-7/7-4
white,8-5/19-14
black,13-7/18-13
white,14-12/12-10/10-8/8-6
black,25-21/7-4
white,6-1/2-0
black,21-19/19-15
white,2-0/2-0
black,15-12/12-6
white,5-4/4-0
black,2-0/2-0
white,5-4/4-0
black,6-1/1-0
white,5-4/4-3/3-2/2-1
black,2-0/2-0
white,1-0/1-0/1-0/5-0
black,2-1/1-0
white,1-0/1-0
black,2-0/2-0
white,1-0/1-0
black,4-2/2-0
white,1-0/1-0
