player_color,move
white,24-22/22-20/6-4/6-4
black,6-4/6-4/13-11/6-4
white,8-2/8-2/20-14/14-8
black,
white,8-5/8-6
black,25-24/13-8
white,6-5/24-18
black,6-3/3-2
white,13-7/18-14
black,6-5/24-18
white,25-22/13-8
black,5-2/13-8
white,6-5/13-10
black,8-4/18-17
white,25-20/14-10
black,8-6/8-6/6-4/6-4
white,6-5/6-5/20-19/19-18
black,8-2/17-11/24-18/24-18
white,22-17/18-16
black,25-22/11-7
white,2-1/10-5
black,7-5/22-18
white,10-4/16-10/10-4/17-11
black,5-2/13-9
white,11-9/4-1
black,9-4/13-7
white,9-8/5-1
black,4-2/7-2
white,4-1/4-1/4-1/8-5
black,4-2/18-14
white,13-9/5-4
black,14-8/18-15
white,5-3/3-1/9-7/7-5
black,25-22/8-7
white,4-2/5-1
black,15-11/22-21
white,13-7/7-3
black,7-1/11-5/21-15/15-9
white,2-0/3-2
black,5-3/4-3
white,1-0/1-0
black,9-5/1-0
white,5-3/2-0
black,5-4/3-0
white,1-0/1-0/5-2/2-0
black,2-0/3-2
white,5-3/3-0
black,2-1/1-0
white,2-1/5-1
black,2-0/2-0/2-0/2-0
white,1-0/1-0
black,2-0/2-0
white,1-0/3-0
black,4-3/4-2
white,1-0/1-0
black,3-0/2-0
white,1-0
