player_color,move
black,13-10/10-4
white,6-4/8-2
black,6-4/24-23
white,25-22/13-7
black,8-3/8-3/23-18/18-13
white,25-23/25-20
black,13-7/13-10
white,13-10/8-7
black,7-4/10-5
white,25-23/7-1
black,25-22/13-10/10-7/7-4
white,24-18/4-2
black,8-4/22-16
white,13-8/13-11
black,13-8/8-3/16-11/11-6
white,6-4/6-4/4-2/13-11
black,13-7/5-4
white,25-23/11-9/9-7/7-5
black,6-1/6-4
white,
black,6-1/7-3
white,25-23/11-9/9-7/7-5
black,6-0/6-1
white,8-4/6-1
black,1-0/1-0
white,2-1/5-3
black,3-0/1-0
white,23-19/5-2
black,4-3/4-3/4-3/4-3
white,3-2/10-6
black,3-0/3-1
white,6-2/8-5
black,4-3/4-0
white,5-1/23-17
black,4-1/1-0
white,17-16/16-13
black,1-0/3-0
white,13-11/23-17
black,3-0/3-0
white,2-1/23-17
black,3-1/3-2
white,19-13/6-4
black,1-0/3-0
white,11-6/13-12
black,2-0
