player_color,move
white,8-7/8-7/7-6/7-6
black,24-20/20-15
white,24-21/8-4
black,6-3/8-5/5-2/13-10
white,24-20/20-15
black,25-21/3-1
white,25-24/15-13
black,25-20/13-8/20-15/13-8
white,13-11/11-9/9-7/7-5
black,6-4/24-21
white,
black,13-7/7-4
white,25-24/6-1
black,6-5/21-15
white,13-11/11-6
black,13-7/7-4
white,5-1/13-9/9-5/5-1
black,6-4/21-16
white,6-4/4-1
black,15-9/9-4
white,6-3/3-1
black,6-4/8-4
white,13-7/24-22
black,5-4/8-4
white,7-5/5-1
black,16-13/13-8
white,24-22/22-19
black,15-13/13-8
white,6-1/6-1/6-1/6-1
black,8-4/15-9
white,19-15/15-13
black,8-2/8-2/9-3/8-2
white,25-20/20-16
black,4-2/4-0
white,16-15/15-10
black,2-0/3-0
white,13-9/10-4
black,2-1/1-0
white,9-3/3-2
black,2-0/2-0
white,4-2/6-3
black,2-0/4-0
white,3-1/13-9
black,4-1/1-0
white,2-1/9-6
black,4-2/2-0
white,13-10/10-6
black,4-3/3-0
white,6-3/3-0
black,4-0/4-0/4-0/4-0
