player_color,move
black,6-5/24-20
white,8-2/6-3
black,8-7/7-3
white,3-2/24-18
black,6-1/20-16
white,25-21/6-4
black,5-4/6-1
white,25-20/20-15/13-8/15-10
black,16-11/11-5
white,8-4/13-8
black,5-2/24-20
white,6-4/10-4
black,8-4/13-8
white,4-2/6-1
black,3-1/4-1
white,8-4/18-15
black,8-2/13-7/13-7/7-1
white,13-10/13-8
black,6-2/6-1
white,6-5/13-7
black,25-20/7-1
white,25-20/20-19
black,20-18/18-14
white,25-21/21-18
black,25-24/13-9
white,25-21/8-5
black,13-12/9-4
white,25-22/22-20
black,12-7/7-2/14-9/9-4
white,25-22/2-1
black,25-22/22-16
white,20-18/22-19
black,8-2/16-13
white,18-14/15-14
black,13-8/8-4
white,10-4/14-11
black,2-0/4-0
white,2-1/4-2
black,2-0/4-0
white,8-4/14-11
black,4-2/2-0
white,11-5/19-14
black,1-0/1-0
white,8-4/14-10/19-15/15-11
black,2-0/2-0
white,10-4/11-6
black,1-0/2-0
white,5-4/6-4
black,1-0/1-0
white,11-6/1-0
black,1-0/1-0
