player_color,move
white,8-4/8-3
black,8-3/13-8/13-8/13-8
white,6-4/24-21
black,6-2/8-2
white,8-5/5-4
black,13-7/7-6
white,6-4/24-21
black,8-6/13-7
white,6-4/21-16
black,7-1/8-6
white,13-8/16-11/11-6/21-16
black,2-1/8-7/24-23/7-6
white,4-3/8-7/13-12/7-6
black,8-6/23-18
white,16-14/13-7
black,25-20/2-1
white,6-4/7-4
black,3-1/20-17
white,12-9/14-9
black,17-13/13-9/9-5/5-1
white,6-4/9-6
black,24-20/20-17
white,6-1/9-3
black,6-1/17-15
white,6-4/13-7
black,6-3/15-9
white,6-1/7-4
black,9-6/1-0
white,13-9/9-5/3-0/5-1
black,6-2/3-1
white,3-1/3-0
black,2-0/6-4/4-2/1-0
white,1-0/1-0
black,6-4/4-1
white,1-0/1-0/4-0/4-0
black,1-0/2-0
white,4-2/2-0
black,1-0/1-0
white,4-0/4-2
black,1-0/1-0/1-0/6-0
white,2-0/4-3
black,6-4/6-2
white,3-1/1-0
black,2-1/4-0
white,4-1/1-0/4-1/4-1
black,1-0/6-1/1-0/6-1
white,1-0/1-0
