player_color,move
white,8-5/24-18
black,8-4/13-9/9-5/5-1
white,25-23/13-11/11-9/23-21
black,25-22/13-7
white,25-24/8-6
black,25-20/8-6
white,25-20/20-14
black,7-1/22-21
white,25-21/21-17/21-17/17-13
black,25-22/21-20
white,9-3/13-10
black,25-24/20-14
white,10-6/13-9/9-5/6-2
black,25-24/14-10
white,5-3/8-6/17-15/15-13
black,25-20/20-14
white,13-10/10-7/7-4/6-3
black,14-10/10-8
white,14-8/8-3
black,13-10/10-7/7-4/4-1
white,13-9/9-8
black,13-8/24-18
white,13-7/13-9
black,25-24/8-2
white,7-5/9-6
black,2-1/13-8
white,8-3/2-0
black,6-3/8-3
white,3-0/5-3
black,6-5/8-7/5-4/7-6
white,6-5/3-2/6-5/6-5
black,6-1/4-1
white,6-3/2-0
black,6-1/24-18
white,6-5/4-0
black,24-18/6-4
white,6-2/2-0
black,18-14/24-18
white,5-2/2-0
black,6-2/24-19
white,25-20/20-14
black,19-16/14-9
white,14-10/10-4
black,9-4/3-2
white,5-0/5-3
black,16-12/18-12
white,4-2/5-1
black,4-1/3-2
white,1-0/2-0
black,18-12/6-4
white,3-2/3-1
black,12-8/12-7
white,1-0/2-0
black,7-1/8-5
white,3-0/3-0
black,12-7/5-2
white,3-1/1-0
black,4-1/7-2
white,3-0
