player_color,move
white,8-7/13-7
black,8-7/8-3
white,8-5/8-5/24-21/21-18
black,25-22/22-17
white,6-3/13-8
black,25-24/6-4
white,6-4/8-2
black,8-5/5-4
white,7-3/13-9/9-5/24-20
black,6-3/13-10/10-7/7-4
white,25-24/13-7
black,13-10/10-4
white,13-7/5-4
black,4-3/3-1
white,
black,6-2/13-10
white,25-23/23-17
black,25-24/13-8
white,25-24/7-5
black,
white,7-2/20-14
black,
white,24-18/14-8/18-12/12-6
black,
white,7-2/4-3
black,
white,8-5/3-0
black,
white,3-0/3-0
black,
white,4-3/5-2
black,
white,6-5/6-5/6-5/6-5
black,25-24/25-19
white,3-2/2-0
black,6-5/19-18/18-17/6-5
white,2-0/2-0
black,17-16/16-11
white,5-3/2-0
black,5-2/24-19
white,5-2/2-0
black,19-15/11-10
white,2-0/5-4
black,3-1/8-5
white,5-0/4-0
black,5-4/10-4
white,5-2/2-0
black,10-8/24-19
white,5-2/2-0
black,8-4/24-18
white,5-2/2-0
black,18-15/4-3
white,3-0
