player_color,move
white,13-9/9-6
black,6-4/6-5
white,13-10/24-18
black,5-4/6-3
white,8-6/10-5
black,8-2/8-3
white,13-9/9-6
black,8-4/13-8
white,8-5/8-5/13-10/10-7
black,8-7/7-4
white,25-24/24-18
black,4-2/13-8
white,13-11/11-7
black,13-7/13-8
white,
black,6-2/13-8
white,25-20/20-18
black,
white,24-19/18-12
black,25-24/25-21
white,12-7/19-14/14-9/9-4
black,25-22/22-21
white,25-19/19-14
black,8-4/21-16
white,14-11/11-5
black,8-4/8-4/16-12/12-8
white,7-3/7-6
black,8-4
white,7-2/2-0
black,3-2
white,5-2/5-2/5-2/5-2
black,24-22/22-18
white,25-20/20-16
black,3-2/24-18
white,16-10/10-8
black,24-20/20-16/16-12/12-8
white,2-1/8-2
black,18-12/8-4
white,1-0/2-0
black,18-13/13-9
white,2-0/6-2
black,9-5/4-2
white,6-3/3-0
black,12-10/10-4
white,2-0/6-1
black,2-0/5-0
white,2-1/6-1
black,2-0/2-0
white,2-0/6-2
black,2-0/2-0
white,6-3/3-0
black,2-1/1-0
white,1-0/2-0
black,4-3/3-0
white,6-2/2-0
black,4-0/4-0
white,6-5/5-3
black,4-3/3-0
white,6-5/5-1
black,4-0/4-0
white,3-0/1-0
black,4-2/4-1
white,1-0/1-0
