player_color,move
black,8-3/24-23
white,8-7/8-7/7-6/7-6
black,8-7/8-4
white,13-7/7-3
black,13-7/7-2
white,6-1/24-22
black,25-21/25-24
white,25-20/3-2
black,25-21/24-18
white,20-18/22-21
black,25-24/25-24/6-5/5-4
white,25-22/22-21
black,25-20/13-11
white,8-6/24-22/22-20/20-18
black,11-6/21-18
white,21-15/15-13
black,20-18/21-17
white,13-11/11-8
black,25-21/21-17/24-20/20-16
white,25-20/20-17
black,6-4/16-13
white,13-10/10-4
black,6-4/24-22/22-20/20-18
white,4-3/17-11
black,4-3/6-1
white,11-10/10-6
black,2-1/17-11
white,6-1/18-15
black,6-4/11-6
white,13-8/13-8/8-3/15-10
black,13-12/4-3/12-11/6-5
white,
black,13-10/10-4
white,
black,5-4/18-12
white,25-19/8-6
black,25-21/18-12
white,3-1/6-4/18-16/10-8
black,25-20/13-12
white,4-3/16-12
black,
white,2-1/8-3
black,25-23/23-18
white,6-2/12-8/8-4/6-2
black,12-8/8-4/20-16/16-12
white,3-1/4-1
black,11-6/18-14
white,25-23/2-1
black,4-2/3-2
white,
black,12-7/18-12
white,
black,7-4/18-12
white,25-19/3-1
black,25-20/14-12
white,3-1/19-15
black,20-15/15-14
white,15-11/11-6
black,25-23/2-1
white,
black,23-18/12-9
white,25-22/22-18
black,25-21/12-11
white,18-17/6-2
black,18-14/14-9
white,6-5/5-1
black,2-1/11-8
white,25-22/22-17
black,25-21/21-17/21-17/17-13
white,6-3/17-12
black,25-20/20-18
white,6-3/6-3/6-3/12-9
black,12-7/7-2/18-13/13-8
white,9-3/1-0
black,17-15/15-13/13-11/11-9
white,1-0/3-2/2-1/1-0
black,12-10/9-6
white,2-0/3-0
black,6-4/9-7/9-7/7-5
white,1-0/3-0
black,5-4/8-4
white,3-1/1-0
black,10-4/7-2
white,3-0/1-0/1-0/1-0
black,12-8/8-4/1-0/1-0
white,1-0/1-0/1-0
