player_color,move
black,13-8/24-21
white,8-7/8-5
black,13-10/24-23
white,8-4/13-8
black,25-23/8-4
white,7-5/24-22/22-20/8-6
black,4-1/10-7/7-4/4-1
white,25-22/22-20
black,8-4/4-3
white,4-3/5-4/6-5/4-3
black,6-4/13-11/11-9/23-21
white,6-2/6-2/20-16/20-16
black,25-21/25-24
white,13-7/6-3
black,3-2/4-3/6-5/6-5
white,3-1/7-6
black,25-24/6-2
white,25-21/21-19
black,25-21/13-11
white,5-2/13-8
black,8-5/5-2/13-10/10-7
white,13-12/16-13
black,2-1/11-8
white,12-8/13-11
black,7-6/6-4
white,25-21/13-12
black,
white,11-9/5-1
black,
white,3-2/16-11
black,
white,3-2/21-19
black,
white,9-8/12-10
black,25-24/25-24/5-4/4-3
white,
black,21-15/15-10
white,
black,21-15/15-11
white,25-20/25-19
black,25-24/11-5
white,25-20/20-19
black,25-22/10-5
white,19-14/8-3/14-9/9-4
black,
white,11-5/6-5
black,
white,5-2/19-14
black,25-21/25-21/24-20/20-16
white,
black,16-12/12-7
white,
black,8-2/5-1
white,
black,21-15/15-12
white,
black,8-5/12-10
white,
black,7-1/10-6
white,
black,6-1/21-16/16-11/11-6
white,
black,6-5
white,
black,5-1/24-21
white,
black,21-18/18-13
white,
black,13-9/9-6
white,
black,24-18/18-13
white,
black,5-4/13-7
white,
black,6-2/7-5
white,
black,2-1/4-2
white,
black,5-0/2-0
white,
black,2-0/2-0
white,
black,3-1/2-0
white,25-21/25-20
black,1-0/3-0
white,25-19/25-21
black,1-0/1-0
white,19-16/8-6
black,1-0/1-0
white,3-2/21-18
black,1-0/1-0
white,20-16/6-2/21-17/17-13
black,1-0/1-0
