player_color,move
white,8-7/13-7
black,13-7/13-8
white,13-7/7-5
black,7-3/8-2
white,7-2/7-5
black,6-2/8-5
white,13-11/11-10
black,8-4/13-8
white,8-4/8-5
black,6-5/13-9
white,5-3/13-7
black,8-2/13-8
white,13-12/6-2
black,4-2/8-4
white,7-2/12-6
black,8-4/9-4
white,10-6
black,6-2
white,6-3/6-5
black,24-18/6-4
white,5-1/24-18
black,25-24/6-4
white,25-19/3-1
black,25-24/18-12
white,25-22/3-1
black,
white,6-1/19-13
black,
white,4-2/5-1
black,
white,18-14/14-12
black,25-20/25-22
white,25-19/12-8
black,
white,22-18/13-11
black,25-20/20-15/15-10/10-5
white,8-6/11-5
black,25-20/2-1
white,
black,20-15/22-20
white,
black,20-18/18-16/16-14/14-12
white,
black,12-6/15-9/9-3/1-0
white,
black,3-0/5-0
white,25-24/25-24/25-24/6-5
black,2-0/6-0
white,5-1/18-15
black,2-0/5-0
white,15-12/12-10
black,2-0/2-0/4-0/4-0
white,2-1/2-1/2-1/2-1
black,4-0/5-4
white,10-6/24-20/20-16/16-12
black,4-0/4-2
white,12-9/9-5
black,2-0/4-0
