player_color,move
white,8-7/8-4
black,8-3/8-5
white,8-7/24-18
black,8-5/13-8
white,13-7/13-7/13-7/13-7
black,6-5/24-20
white,24-21/18-14
black,13-7/13-7/20-14/14-8
white,21-16/7-1
black,25-21/8-5
white,25-23/14-13
black,6-2/6-5
white,25-21/13-8
black,21-15/13-12
white,25-23/16-13
black,25-24/25-21
white,25-22/6-4
black,25-24/25-20
white,8-4/21-15
black,15-9/13-7/20-14/14-8
white,13-10/23-22
black,9-4/5-1
white,22-16/16-13
black,24-20/20-16/16-12/12-8
white,25-24/10-5
black,25-22/24-22
white,6-1/24-22
black,7-5/22-16
white,6-1/6-1/15-10/10-5
black,16-11/11-7
white,7-1/5-3
black,25-22/6-2
white,25-23/4-1
black,25-22/7-5
white,7-5/23-19
black,25-22/7-2
white,19-14/6-4
black,2-1/8-2
white,14-9/22-19
black,22-17/8-2
white,9-5/19-13
black,7-5/17-11
white,4-2/13-9
black,22-17/11-7
white,7-5/22-18
black,25-19/19-14
white,9-5/18-15
black,14-8/17-14
white,2-1/4-1
black,8-7/7-6/6-5/14-13
white,15-13/13-8
black,22-21/21-15
white,7-2/8-5
black,8-3/5-4
white,7-6/2-0
black,13-10/15-10
white,1-0/6-0
black,3-2/10-7
white,5-0/5-0
black,7-1/10-9
white,5-4/5-0
black,9-5/1-0
white,1-0/4-0
black,2-1/1-0
white,5-2/5-0
black,2-0/4-3
white,2-0/1-0/1-0/1-0
black,1-0/2-0
white,1-0/1-0
