player_color,move
white,8-2/8-4
black,6-2/13-8
white,13-7/13-8
black,6-5/6-5/5-4/5-4
white,24-18/7-3
black,4-1/13-7
white,25-20/25-20/20-15/15-10
black,6-2/8-4/8-4/8-4
white,13-8/20-14
black,6-5/7-2
white,10-8/14-11
black,13-11/24-18
white,8-2/8-6
black,18-15/13-9
white,11-6/13-7
black,9-4/15-9
white,13-9/9-8
black,5-4/11-8
white,3-2/8-7/7-6/7-6
black,9-4/13-10
white,4-3/8-4
black,8-4/24-21
white,25-24/8-3
black,25-24/24-18
white,24-22/6-3
black,8-7/7-4
white,2-1/22-19
black,10-9/18-14
white,19-15/15-12
black,21-17/9-7
white,2-1/12-8
black,
white,6-4/8-4
black,25-23/14-12/12-10/10-8
white,25-20/4-1
black,8-4/7-3
white,20-16/6-4
black,23-18/18-13/13-8/8-3
white,6-2/2-1
black,3-2/3-0
white,16-12/6-5
black,2-0/2-0/2-0/2-0
white,3-2/3-1
black,4-0/4-0
white,3-1/12-8
black,4-0/4-0
white,4-3/8-6
black,4-0/4-0/4-0/4-0
white,6-1/4-0
black,4-3/3-0
white,5-2/6-1
black,4-1/1-0
