player_color,move
white,8-5/24-18
black,13-9/6-3
white,24-22/8-4
black,25-24/9-5
white,8-7/7-4
black,5-4/4-1
white,18-14/14-13
black,8-2/8-3
white,25-21/13-9/9-5/21-17
black,25-24/13-7
white,5-3/17-14
black,13-7/6-5
white,5-4/14-10
black,7-2/13-9
white,3-2/13-9
black,7-1/9-4
white,10-5/13-8/8-3/9-4
black,13-11/4-1
white,13-10/10-5
black,2-1/11-8
white,13-8/8-3/13-8/8-3
black,3-1/5-3/3-1/8-6
white,2-0/5-0
black,2-1/6-2
white,3-0/5-0
black,6-3/24-23
white,4-2/3-0
black,25-23/3-2
white,25-22/22-17
black,23-20/20-16
white,17-11/11-7
black,24-18/6-4
white,25-20/4-3
black,16-10/4-1
white,20-17/6-2
black,18-17/17-12
white,6-4/17-11
black,10-6/12-7
white,4-3/11-6
black,2-1/7-1
white,4-0/3-0
black,24-23/24-18
white,25-20/20-18
black,2-1/23-17
white,18-15/15-12/12-9/9-6
black,6-4/18-16/16-14/4-2
white,6-2/2-0
black,14-12/12-6
white,4-1/3-1
black,17-15/15-11
white,1-0/1-0
black,11-7/6-4
white,6-1/1-0
black,6-2/7-1
white,3-0/6-4
black,4-1/2-0
white,6-2/4-1
black,1-0/1-0/1-0/2-0
white,6-4/1-0
black,1-0/1-0
white,2-0/4-0
