player_color,move
white,24-20/24-23
black,13-10/24-20
white,6-1/20-16
black,25-20/6-4
white,13-8/8-2
black,10-8/4-2/13-11/11-9
white,25-24/25-22
black,6-4/9-8
white,8-7/7-4
black,20-16/8-7
white,13-10/10-4
black,6-4/16-10
white,4-1/8-6
black,20-17/17-16
white,25-23/22-18
black,
white,4-1/6-1
black,25-22/25-21
white,24-23/18-14
black,22-18/18-13
white,14-10/10-8
black,8-5/6-4
white,23-19/19-13
black,25-21/5-4
white,13-11/11-5
black,10-8/16-15
white,8-2/23-18
black,13-8/21-18
white,13-7/7-1/13-7/7-1
black,25-21/15-9
white,2-1/18-13
black,8-4/8-4/8-4/8-4
white,5-1/13-7
black,9-4/13-12
white,25-23/7-1
black,8-4/13-12
white,6-1/23-19
black,12-9/13-12
white,19-17/17-15
black,12-9/12-9/21-18/18-15
white,15-11/11-5
black,9-4/15-9
white,1-0/6-0
black,21-16/16-10
white,5-2/2-0
black,9-6/6-4
white,2-0/6-1
black,9-6/10-4
white,1-0/1-0
black,4-1/9-5
white,1-0/1-0
black,6-5/1-0
white,1-0/6-1
black,5-1/1-0
white,1-0/1-0
black,4-0/4-0/4-0/5-0
white,1-0/1-0
black,4-3/3-0
white,1-0/1-0
