player_color,move
white,13-7/6-5
black,8-4/24-18
white,25-24/5-4/4-3/3-2
black,24-22/13-8
white,6-1/24-18
black,8-4/13-8
white,13-9/9-3
black,25-21/18-14/14-10/10-6
white,8-2/8-2/13-7/7-1
black,13-8/21-15
white,3-1/8-4
black,13-9/8-6
white,13-8/8-6
black,8-2/8-6
white,13-7/18-15
black,6-5/6-4
white,24-18/7-3
black,5-4/6-3
white,6-4/6-1
black,6-3/9-4
white,6-1/4-1
black,8-7/3-2/13-12/12-11
white,25-22/3-1
black,
white,6-2/22-18/18-14/24-20
black,25-22/25-20
white,2-1/14-8
black,25-22/22-21
white,25-20/15-11
black,22-19/15-12/12-9/19-16
white,11-9/9-6
black,25-20/9-8
white,2-1/20-15
black,6-5/6-3
white,25-24/15-14/14-13/13-12
black,5-4/6-3
white,8-2/12-9
black,3-1/6-4/8-6/6-4
white,
black,20-19/20-19/19-18/18-17
white,25-19/25-20
black,19-15/15-11/17-13/11-7
white,9-6/20-15
black,7-6/6-4
white,
black,13-11/21-15
white,25-19/15-13
black,15-10/11-6/10-5/5-0
white,25-19/19-15
black,25-20/20-17
white,15-14/6-1
black,17-13/13-8
white,13-8/8-6
black,8-5/1-0
white,6-1/14-12
black,3-0/5-4
white,12-10/10-8/8-6/2-0
black,2-1/1-0
white,6-1/2-0
black,2-1/1-0
white,1-0/2-0
black,4-2/4-0
white,1-0/1-0
black,4-2/2-0
white,1-0/1-0/1-0/1-0
black,4-0/2-0
white,1-0/1-0
black,4-1/4-3
white,1-0/1-0
black,1-0/3-0
white,1-0
