player_color,move
black,8-3/24-21
white,13-10/10-4
black,25-24/8-4
white,13-8/24-21
black,
white,13-10/21-16
black,25-21/13-7
white,25-21/8-4/21-17/8-4
black,25-22/25-23
white,24-23/6-2
black,25-24/13-10
white,17-16/13-10
black,7-4/22-16
white,6-4/8-4
black,4-1/16-10
white,10-6/6-2/13-9/9-5
black,24-20/20-17
white,
black,3-2/17-11
white,25-20/25-23
black,25-20/20-18
white,25-24/16-11
black,25-22/11-5
white,25-22/16-11
black,10-6/10-5
white,6-4/6-2
black,13-9/13-12
white,10-4/22-17
black,9-3/3-1
white,25-21/6-4
black,12-10/13-10
white,17-12/12-8
black,18-13/10-5/13-8/8-3
white,21-15/23-21
black,25-22/24-18
white,8-4/15-14
black,3-1/24-18
white,14-12/21-18
black,5-3/3-1/5-3/3-1
white,11-9/12-8
black,6-2/22-19
white,11-5/5-2
black,2-1/19-16
white,25-20/18-13/13-8/20-15
black,
white,15-14/14-12
black,25-19/19-15
white,8-3/3-2
black,25-19/16-14
white,8-2/12-11
black,25-19/19-13/19-13/13-7
white,11-5/5-0
black,13-10/10-6
white,2-0/2-0
black,7-5/5-3/3-1/15-13
white,2-1/1-0
black,13-11/11-6
white,4-2/2-0
black,18-17/17-11
white,2-1/1-0
black,18-14/14-9
white,2-0/2-0
black,9-5/11-10
white,4-2/2-0
black,6-1/6-1/6-1/10-5
white,4-2/2-0/4-2/2-0
black,6-2/1-0/6-2/6-2
white,4-0/4-2
black,5-2/5-0
white,2-0/4-0
black,6-5/2-1/2-1/2-1
white,4-3/3-0
