player_color,move
white,13-7/8-3
black,24-20/13-8
white,7-1/8-7
black,25-22/13-10/10-7/7-4
white,25-22/24-21/21-18/18-15
black,25-21/20-17
white,25-23/24-21
black,22-17/8-5
white,15-9/9-6
black,6-4/17-11
white,25-24/7-4
black,25-20/11-6/20-15/15-10
white,13-7/23-18
black,5-4/17-14
white,13-10/24-18
black,14-8/10-6
white,6-1/22-16
black,4-1/8-2
white,7-4/10-5
black,6-4/6-2
white,13-11/4-3
black,6-2/8-6
white,11-10/16-13
black,13-8/13-10
white,18-14/14-10/10-6/5-1
black,10-4/13-10
white,4-2/18-16/16-14/3-1
black,6-2/10-5
white,6-2/10-6/14-10/10-6
black,8-3/8-3/8-3/1-0
white,13-9/6-5
black,4-0/6-5
white,13-10/9-3
black,3-0/6-0
white,2-1/3-1
black,6-4/3-0
white,2-1/10-5
black,3-0/2-1
white,1-0/5-1
black,1-0/2-0
white,5-3/6-1
black,2-0/2-0/5-0/5-0
white,6-3/3-0
black,4-2/2-1
white,1-0/3-0
black,1-0/4-0/4-0
