player_color,move
black,8-4/13-10
white,6-3/24-20
black,4-2/10-6
white,20-16/16-10
black,8-2/13-11
white,8-7/6-3
black,2-1/8-5
white,25-24/8-2
black,25-21/13-8
white,6-5/7-2
black,6-1/6-1/11-6/13-8
white,25-22/6-4
black,25-19/19-18
white,25-21/4-2
black,2-1/24-18
white,5-4/10-4
black,6-2/18-13
white,13-8/21-16/16-11/11-6
black,13-11/11-9/9-7/7-5
white,6-4/13-8
black,8-6/24-19
white,4-2/13-10
black,8-6/13-10
white,10-4/22-21
black,19-16/18-16
white,3-2/13-8
black,6-2/10-4
white,25-22/22-21
black,
white,13-12/8-5
black,25-19/19-13/16-10/16-10
white,
black,2-1/10-6
white,25-21/5-2
black,2-1/10-5
white,8-4/21-16
black,13-8/8-5
white,16-14/14-8
black,5-4/4-2
white,
black,5-1/5-2
white,25-22/22-20
black,25-22/6-4
white,25-22/20-18
black,2-1/4-2
white,8-5/22-16
black,22-20/20-14
white,25-22/8-2
black,6-4/14-12/12-10/10-8
white,8-5/22-16
black,8-2/4-0
white,5-4/16-13
black,6-4/4-0
white,13-9/9-4
black,6-4/1-0
white,2-1/4-1
black,4-1/2-0
white,16-11/11-9
black,6-0/1-0
white,9-4/18-12
black,2-0/6-3
white,12-8/8-7
black,2-0/3-0
white,7-1/4-3
black,1-0/1-0
white,1-0/1-0
black,1-0/1-0/1-0/1-0
