player_color,move
black,13-11/11-5
white,8-3/8-3/13-8/13-8
black,6-2/8-6
white,6-5/13-7
black,5-3/8-3
white,5-3/7-3
black,13-7/13-8
white,3-2/24-18
black,25-21/8-2
white,6-2/8-4/8-4/8-4
black,25-20/20-16
white,6-4/6-2
black,24-19/13-10
white,25-20/18-12
black,25-20/20-16
white,24-21/12-8
black,3-1/10-6
white,13-8/13-8/21-16/16-11
black,24-20/3-1
white,3-2/20-15
black,8-5/20-18
white,8-6/4-2/15-13/13-11
black,25-24/16-13
white,6-4/11-8
black,13-10/16-10
white,8-4/11-9
black,6-1/5-1
white,3-2/8-4
black,10-9/10-4
white,9-4/8-6
black,9-5/24-18
white,2-0/3-0
black,2-1/6-1
white,2-0/6-0
black,4-1/5-1
white,4-0/4-0
black,18-12/6-5
white,2-1/1-0
black,12-7/18-15
white,2-0/2-0
black,2-1/7-5
white,2-0/4-0/4-0/4-0
black,6-1/15-13
white,4-3/3-0
black,13-10/10-6
white,4-0
