player_color,move
white,8-5/6-5
black,13-7/13-7/24-18/24-18
white,13-10/10-6
black,13-7/13-8
white,24-20/8-6
black,8-7/8-6
white,20-14/5-2
black,7-2/18-15
white,8-5/14-10
black,25-23/13-8
white,25-23/13-12
black,25-23/8-2
white,25-24/12-7
black,25-23/7-2
white,13-9/24-21
black,6-5/8-4
white,25-22/22-21
black,25-21/7-4
white,25-22/5-3
black,8-4/4-1
white,25-20/10-4
black,25-23/25-21
white,25-22/9-3
black,6-2/6-4
white,7-6/20-15
black,6-2/7-4
white,6-5/15-10
black,6-5/21-15
white,25-22/13-7
black,15-13/13-9
white,22-16/16-15
black,
white,7-3/15-11/11-7/22-18
black,25-23/5-2
white,13-11/11-7
black,6-3
white,25-19/19-16
black,23-17/23-17/17-11/17-11
white,3-1/6-4/5-3/7-5
black,11-8/23-18
white,25-20/5-3
black,8-5/5-4
white,25-24/16-14
black,
white,14-11/3-1
black,25-21/25-21/21-17/17-13
white,25-22/22-18
black,
white,6-1/11-5
black,
white,18-15/24-18
black,25-21/13-12
white,18-13/15-13
black,
white,13-7/6-1
black,
white,18-15/15-12/12-9/9-6
black,
white,5-1/7-6
black,
white,6-3/13-12
black,
white,12-9/9-5
black,
white,3-0/6-1
black,
white,5-1/6-3
black,25-23/25-20
white,25-19/19-17
black,20-18/21-18
white,17-11/11-5/3-0/3-0
black,23-21/18-17
white,6-3/1-0
black,17-13/21-15
white,5-4/6-1
black,25-23/13-8
white,1-0/3-0
black,8-4/23-20
white,1-0/3-0
black,23-21/23-19
white,25-19/19-16
black,15-9/18-13
white,25-22/3-1
black,13-9/21-18
white,22-18/18-17
black,9-4/20-19
white,17-13/13-10
black,9-7/7-1
white,10-4/1-0
black,18-17/17-16/4-3/16-15
white,4-2/2-0
black,15-11/11-9
white,1-0/1-0
black,3-2/9-4
white,1-0/1-0
black,19-17/17-14
white,1-0
