player_color,move
white,8-6/24-18
black,8-2/13-10
white,18-15/15-11
black,25-22/13-7
white,24-23/13-11
black,25-21/8-5
white,8-7/8-4
black,25-23/5-2
white,
black,24-18/22-21
white,25-23/25-23/25-23/23-21
black,25-22/22-17
white,11-8/8-4
black,25-22/25-22/7-4/4-1
white,25-23/11-9/9-7/7-5
black,25-23/8-3
white,23-18/23-18/18-13/18-13
black,13-10/22-17
white,13-10/10-4
black,10-6/13-10
white,5-4/23-17
black,3-1/23-17
white,13-11/13-12
black,25-22/10-6
white,6-4/11-5
black,17-16/16-13
white,25-21/6-1
black,25-23/22-18
white,5-3/13-10
black,25-23/17-13
white,21-18/6-4
black,13-8/23-18/8-3/23-18
white,25-21/3-2
black,
white,10-4/21-17
black,25-23/23-17
white,25-23/17-13
black,13-9/9-3
white,13-12/23-18
black,17-13/13-10
white,25-21/13-12
black,6-3/18-12
white,25-21/18-12
black,6-1/6-1/6-1/6-1
white,21-17/21-18
black,12-10/18-15
white,4-3/4-1
black,3-1/18-12
white,17-16/16-12
black,3-1/12-6
white,12-8/18-14/8-4/14-10
black,25-22/22-18
white,25-23/10-6
black,6-1/6-1/6-1/10-5
white,12-7/12-8
black,25-23/5-2
white,25-20/6-4
black,10-6/6-2
white,8-4/18-12
black,23-20/20-18
white,25-21/20-18
black,18-14/14-12
white,18-12/21-19
black,12-10/3-2
white,6-5/5-3
black,10-7/7-5
white,6-4/19-16
black,2-0/2-0/2-0/5-0
white,6-5/16-12
black,1-0/1-0
white,12-7/7-3
black,1-0/1-0
white,12-8/12-6
black,1-0/1-0
white,6-4/8-4
black,1-0/1-0/1-0/1-0
white,3-2/5-1
black,1-0
