player_color,move
white,13-7/7-3
black,13-7/24-23
white,3-2/6-1
black,25-21/25-23
white,25-21/8-6
black,8-4/8-7
white,25-24/8-2
black,25-20/6-3
white,24-20/24-21
black,25-24/8-4
white,25-24/25-24/6-5/5-4
black,25-21/25-23
white,25-20/25-22
black,25-24/7-2
white,20-15/20-14
black,24-18/6-5
white,6-2/6-4
black,25-21/25-24
white,25-22/14-8
black,6-4/7-4
white,6-2/6-3
black,6-4/13-8
white,3-2/13-10
black,5-4/8-4
white,13-11/11-6
black,13-8/8-4
white,10-8/15-11
black,21-16/13-8/16-11/11-6
white,6-5/11-8
black,24-19/13-11
white,13-11/11-5
black,24-22/22-16
white,8-2/8-5
black,11-6/18-13/16-11/19-14
white,5-1/8-5
black,4-2/6-4/8-6/11-9
white,13-8/2-1
black,6-2/14-11
white,5-1/8-5
black,6-2/9-4
white,22-18/8-6
black,6-2/13-12
white,22-20/24-19
black,11-8/8-6
white,25-22/2-1
black,6-5/12-7
white,25-22/25-22/22-19/19-16
black,
white,2-1/24-22
black,7-2/5-2
white,16-10/24-22
black,2-1/1-0
white,22-18/6-1
black,2-1/1-0
white,22-18/2-1
black,2-1/1-0
white,18-15/15-14
black,2-1/1-0
white,10-5/14-8
black,2-0/2-0
white,5-4/4-1
black,2-1/1-0
white,5-1/8-2
black,4-0/4-1
white,18-17/17-11
black,1-0/4-0
white,5-2/11-6
black,4-1/1-0
white,5-1/22-20
black,4-0/4-0/4-0/4-0
