player_color,move
black,13-7/7-2
white,6-5/24-18
black,8-2/13-10
white,5-2/13-8
black,2-1/10-5
white,25-21/6-4
black,6-4/24-18
white,25-21/6-4
black,25-22/13-10/10-7/7-4
white,25-20/25-22
black,25-20/20-15/15-10/13-8
white,6-4/13-8
black,18-16/22-16
white,6-2/8-4/8-4/22-18
black,6-1/10-6
white,13-8/18-14
black,4-1/8-6
white,13-8/13-8/20-15/15-10
black,8-5/13-10/16-13/16-13
white,4-3/14-8
black,13-8/10-6
white,10-5/5-2
black,5-1/8-5
white,8-6/6-3
black,2-1/8-6
white,8-7/7-6/6-5/5-4
black,6-5/5-2
white,3-2/8-2
black,24-18/6-1
white,3-1/8-5
black,13-12/12-7
white,5-4/8-5
black,6-2/7-1
white,5-4/8-5
black,2-1/5-2
white,8-5/1-0
black,18-15/6-1
white,5-0/2-0
black,15-11/11-10
white,5-0/2-0
black,10-5/5-2
white,4-1/2-1
black,2-1/6-3
white,1-0/1-0
black,2-1/6-2
white,2-0/2-0
black,3-1/6-1
white,4-2/2-1
black,2-0/2-0
white,1-0/4-0
black,1-0/1-0/1-0/1-0
white,4-2/2-0
black,1-0/1-0/1-0/1-0
white,4-0/4-0
black,1-0/1-0
white,4-3/3-0
