player_color,move
white,8-5/8-5/24-21/21-18
black,8-2/8-7
white,25-22/8-2
black,7-4/8-4
white,13-10/24-23
black,25-24/24-23/23-22/22-21
white,25-23/10-5
black,24-22/13-10
white,13-7/7-6
black,22-18/18-15
white,23-17/22-16/17-11/16-10
black,25-23/6-4/23-21/6-4
white,10-5/11-6/23-18/18-13
black,21-16/13-8/16-11/11-6
white,13-7/7-3
black,6-5/6-5/5-4/5-4
white,13-8/8-2
black,6-2/6-4
white,2-1/13-8
black,25-22/8-3
white,25-19/6-1
black,3-2/22-18
white,8-5/19-18
black,10-4/13-11
white,13-11/11-6
black,13-12/11-5
white,5-1/18-15
black,13-7/18-12/21-15/15-9
white,6-5/5-2
black,12-7/9-7
white,15-11/11-6
black,5-4/12-8
white,2-1/5-3
black,7-2/8-2
white,1-0/3-0
black,7-3/4-1
white,5-2/6-5
black,7-1/3-0
white,2-0/5-2/5-2/5-2
black,2-1/4-0
white,2-1/6-3
black,1-0/1-0
white,1-0/3-0
black,4-0/4-1
white,2-1/6-3
black,4-3/3-0
white,2-0/6-2
black,2-0/4-3
white,2-1/3-0
black,2-0/1-0
white,6-2/6-5
black,1-0/2-0/3-0/4-0
white,6-4/2-0/4-2/2-0
black,4-3/3-0
white,5-4/4-3/3-2/1-0
black,4-0
