player_color,move
white,8-6/8-5
black,6-2/6-4
white,6-4/13-8
black,4-3/13-10
white,8-5/13-8
black,10-8/6-4/13-11/11-9
white,6-3/5-2/13-10/10-7
black,24-20/8-3
white,25-20/4-3
black,6-2/8-4/8-4/8-4
white,7-1/13-7/20-14/7-1
black,25-23/23-20
white,
black,6-2/20-14
white,25-19/6-1
black,13-11/14-8
white,25-20/20-18
black,11-10/3-2/10-9/8-7
white,25-22/13-10/10-7/7-4
black,
white,6-1/8-2
black,25-21/13-11
white,25-24/6-2
black,9-4/20-14
white,22-20/20-18/18-16/16-14
black,
white,14-8/19-13/13-7/7-1
black,
white,6-1/8-5
black,
white,8-6/5-2
black,
white,2-1/6-2
black,25-19/25-20
white,24-18/18-15
black,25-21/19-13
white,24-19/19-13
black,21-20/14-9
white,2-1/3-1
black,20-16/16-13
white,13-9/9-6
black,20-19/21-18
white,25-24/24-20
black,9-4/18-15
white,20-17/17-14/14-11/11-8
black,15-10/10-4
white,25-19/19-15
black,13-11/13-11/11-9/11-9
white,24-19/15-13
black,13-8/4-1
white,3-2/13-8
black,8-2/19-13/13-7/7-1
white,8-4/19-13
black,9-5/9-3
white,4-1/8-4
black,1-0/4-0/5-0/3-0
white,13-7/7-4
black,1-0/2-0
white,4-0/1-0
black,4-1/2-0
white,4-3/3-0
black,2-0/2-0
white,2-0/2-1
black,1-0/2-0/4-0/4-0
white,1-0/1-0/1-0/2-0
black,4-0/4-2
white,1-0/1-0
black,2-0
