player_color,move
black,8-7/8-6
white,8-2/8-2/24-18/24-18
black,25-24/8-3
white,13-11/8-4
black,3-1/6-3
white,13-7/13-11
black,24-22/6-4/4-2/22-20
white,7-5/13-11/5-3/13-11
black,
white,11-5/4-2
black,25-24/24-18
white,5-3/18-15
black,6-4/18-13
white,3-2/6-3
black,24-21/13-8
white,6-1/18-13/13-8/8-3
black,25-20/8-2
white,11-6/15-11
black,13-11/11-7
white,6-2/6-4
black,25-20/7-4
white,6-4/6-1
black,6-1/6-4
white,
black,3-1/6-4/20-18/18-16
white,11-6/6-1/11-6/6-1
black,13-12/4-2
white,11-6/3-0
black,12-9/9-4
white,1-0/1-0
black,16-10/10-6
white,1-0/1-0
black,20-15/13-11
white,2-0/4-3
black,11-5/15-13
white,3-2/6-1
black,13-7/13-7/7-1/7-1
white,3-0/2-1
black,5-4/6-2
white,2-0/1-0
black,13-9/9-5/1-0/5-1
white,1-0/2-0/2-0/2-0
black,2-1/4-1
white,3-0/4-3
black,2-0/2-0
white,3-0
