player_color,move
white,6-5/13-8
black,13-8/24-20
white,25-24/6-1
black,25-24/6-5/5-4/24-23
white,25-21/8-6
black,25-24/8-7/24-23/7-6
white,24-22/22-18
black,6-4/8-4
white,25-22/6-1
black,6-5/6-5/5-4/5-4
white,6-1/6-5
black,25-20/6-5
white,25-23/13-10
black,5-4/23-20
white,6-1/8-2
black,25-22/8-4
white,23-17/13-8
black,25-20/13-10
white,10-8/17-15/15-13/18-16
black,25-22/20-15
white,24-22/13-8
black,22-19/22-21
white,8-4/4-1
black,25-20/20-18
white,16-10/10-8
black,25-19/20-19
white,2-1/8-4
black,20-16/19-16
white,4-3/3-2/2-1/24-23
black,6-2/16-15
white,25-23/13-9
black,
white,9-4/4-2
black,
white,8-4/13-8
black,
white,8-2/4-3
black,
white,22-19/3-2
black,25-22/25-21
white,8-5/19-17
black,13-9/22-16
white,2-1/23-17
black,13-7/7-4
white,2-1/17-15
black,9-4/13-12
white,15-9/9-3/17-11/11-5
black,25-22/12-9/22-19/15-12
white,25-20/22-18
black,9-8/12-11/11-10/10-9
white,2-1/8-5
black,4-1/21-18/18-15/18-15
white,8-2/5-1
black,9-3/19-15
white,18-14/20-14
black,15-13/8-4
white,5-3/14-8
black,13-10/10-4
white,2-1/14-12
black,15-11/11-5
white,8-7/7-2
black,19-16/19-13
white,25-20/20-18
black,25-19/15-12
white,5-3/3-1/3-1/18-16
black,13-9/9-4
white,25-19/19-18
black,3-2/12-8
white,18-14/14-11
black,16-13/19-13
white,11-5/2-0
black,8-4/13-10
white,5-3/3-0
black,13-7/10-6
white,1-0/1-0
black,7-5/2-0
white,1-0/1-0
black,1-0/6-4
white,1-0/1-0/1-0/1-0
black,4-0/5-2
white,1-0/1-0/1-0/1-0
black,4-1/1-0
white,1-0
