player_color,move
white,24-23/23-22/22-21/8-7
black,8-5/5-1
white,25-22/7-6
black,8-2/24-21
white,8-6/22-16
black,13-7/7-3
white,16-10/21-15/15-9/9-3
black,2-1/6-1
white,8-7/7-6/10-9/9-8
black,6-1/21-16/16-11/11-6
white,3-2/6-4
black,24-18/13-10
white,6-1/8-2
black,8-3/10-4
white,13-8/8-5
black,13-8/8-6
white,13-9/13-9/9-5/9-5
black,13-9/9-6
white,13-9/9-6
black,13-8/8-2
white,6-1/13-7
black,25-21/6-4
white,
black,4-1/21-17
white,25-20/20-17
black,6-1/17-16
white,7-3/17-12
black,16-14/14-11
white,5-2/12-6
black,11-6/3-0
white,5-3/2-0
black,2-0/1-0/6-0/6-0
white,6-3/6-3/6-3/6-3
black,6-1/4-0
white,5-1/1-0
black,6-2/6-3
white,2-0/1-0
black,2-0/3-0
white,1-0/2-0
black,1-0/3-0
white,6-1/6-3
black,1-0/1-0
white,6-4/1-0
black,1-0/1-0/1-0
